"State","Date","Cases_Asian","Cases_AIAN","Cases_Black","Cases_White","Cases_Other","Cases_NHPI","Cases_Multiracial","Cases_LatinX","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Hispanic","Cases_Ethnicity_Unknown","Cases_Total","Deaths_AIAN","Deaths_Asian","Deaths_Black","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Deaths_LatinX","Deaths_Multiracial","Deaths_NHPI","Deaths_Other","Deaths_White","Deaths_Total","Hospitalizations_AIAN","Hospitalizations_Asian","Hospitalizations_Black","Hospitalizations_Ethnicity_Hispanic","Hospitalizations_Ethnicity_NonHispanic","Hospitalizations_Ethnicity_Unknown","Hospitalizations_LatinX","Hospitalizations_Multiracial","Hospitalizations_NHPI","Hospitalizations_Other","Hospitalizations_White","Hospitalizations_Total","Tests_AIAN","Tests_Asian","Tests_Black","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown","Tests_LatinX","Tests_Multiracial","Tests_NHPI","Tests_Other","Tests_White","Tests_Total"
"AK",20210307,2447,12238,1499,18300,7130,1508,4453,,29625,3197,26510,59332,111,29,9,13,280,12,,4,17,1,127,305,336,116,45,66,939,288,,67,126,54,423,1293,,,,,,,,,,,,
"AK",20210303,2437,12212,1494,18188,7109,1506,4445,,29540,3188,26302,59030,111,29,9,12,280,11,,4,17,1,126,303,335,116,45,66,935,284,,67,126,53,418,1285,,,,,,,,,,,,
"AK",20210228,2396,12117,1481,17991,7033,1493,4403,,29356,3165,25772,58293,104,29,9,12,268,10,,4,16,1,122,290,331,117,45,66,927,284,,67,125,52,415,1277,,,,,,,,,,,,
"AK",20210224,2368,12079,1476,17891,7018,1490,4389,,29261,3152,25575,57988,104,29,9,12,268,10,,4,16,1,122,290,327,117,45,65,916,279,,67,123,52,407,1260,,,,,,,,,,,,
"AK",20210221,2331,11990,1470,17713,6962,1479,4370,,29066,3126,25213,57405,104,29,9,12,267,10,,4,16,1,121,289,325,116,46,62,909,272,,67,122,51,400,1243,,,,,,,,,,,,
"AK",20210217,2314,11922,1460,17572,6918,1474,4347,,28896,3114,24967,56977,104,29,9,12,267,9,,4,16,1,121,288,324,116,46,62,907,269,,67,122,51,399,1238,,,,,,,,,,,,
"AK",20210214,2249,11837,1452,17430,6855,1467,4323,,28719,3098,24593,56410,103,29,9,12,261,9,,4,16,1,117,282,323,114,46,62,902,266,,67,122,51,397,1230,,,,,,,,,,,,
"AK",20210210,2235,11767,1444,17353,6832,1457,4298,,28600,3090,24407,56097,103,29,9,12,259,9,,4,16,1,115,280,322,114,46,62,899,263,,67,122,51,394,1224,,,,,,,,,,,,
"AK",20210207,2195,11627,1430,17183,6746,1444,4215,,28387,3056,23816,55259,103,29,9,12,258,9,,4,16,1,114,279,321,113,46,62,896,261,,67,122,50,392,1219,,,,,,,,,,,,
"AK",20210203,2165,11512,1408,17073,6724,1440,4187,,28228,3027,23565,54820,103,29,9,12,258,9,,4,16,1,114,279,320,112,46,62,893,258,,68,121,50,390,1213,,,,,,,,,,,,
"AK",20210131,2148,11460,1402,16972,6688,1437,4161,,28109,3019,23223,54351,99,27,9,11,242,9,,3,16,0,105,262,319,111,46,62,888,255,,68,120,50,390,1205,,,,,,,,,,,,
"AK",20210127,2117,11252,1388,16832,6648,1433,4117,,27847,3004,22819,53670,99,27,9,11,242,8,,2,16,0,105,261,318,112,46,61,886,253,,67,120,49,389,1200,,,,,,,,,,,,
"AK",20210124,2104,11160,1380,16745,6617,1430,4094,,27702,2989,22624,53315,97,27,9,11,240,8,,2,16,0,105,259,313,112,46,59,876,250,,69,119,47,383,1185,,,,,,,,,,,,
"AK",20210120,2079,10871,1368,16536,6558,1416,4043,,27370,2964,22059,52393,95,27,9,11,232,10,,2,16,0,99,253,309,110,45,58,864,248,,69,120,46,376,1170,,,,,,,,,,,,
"AK",20210117,2060,10754,1362,16432,6514,1410,4021,,27202,2946,21790,51938,90,23,9,10,212,7,,2,16,0,87,229,302,109,45,58,850,245,,67,121,47,369,1153,,,,,,,,,,,,
"AK",20210113,2025,10422,1345,16186,6404,1399,3965,,26813,2919,21084,50816,89,22,9,9,211,6,,4,15,0,85,226,297,106,44,57,837,244,,71,119,47,361,1138,,,,,,,,,,,,
"AK",20210110,2014,10238,1335,16043,6371,1397,3943,,26578,2907,20733,50218,83,20,9,9,208,7,,7,15,4,83,224,289,102,41,55,818,228,,68,118,47,352,1101,,,,,,,,,,,,
"AK",20210106,1910,9794,1284,14990,6165,1342,3828,,24428,2699,21772,48899,80,20,9,9,205,6,,7,15,4,83,220,277,99,39,52,785,237,,68,117,45,339,1074,,,,,,,,,,,,
