"State","Date","Cases_Asian","Cases_AIAN","Cases_Black","Cases_White","Cases_Other","Cases_NHPI","Cases_Multiracial","Cases_LatinX","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Hispanic","Cases_Ethnicity_Unknown","Cases_Total","Deaths_AIAN","Deaths_Asian","Deaths_Black","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Deaths_LatinX","Deaths_Multiracial","Deaths_NHPI","Deaths_Other","Deaths_White","Deaths_Total","Hospitalizations_AIAN","Hospitalizations_Asian","Hospitalizations_Black","Hospitalizations_Ethnicity_Hispanic","Hospitalizations_Ethnicity_NonHispanic","Hospitalizations_Ethnicity_Unknown","Hospitalizations_LatinX","Hospitalizations_Multiracial","Hospitalizations_NHPI","Hospitalizations_Other","Hospitalizations_White","Hospitalizations_Total","Tests_AIAN","Tests_Asian","Tests_Black","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown","Tests_LatinX","Tests_Multiracial","Tests_NHPI","Tests_Other","Tests_White","Tests_Total"
"AZ",20210307,11921,40707,25775,308453,46964,,,244539,433820,244539,148095,826454,1361,220,433,4684,10545,1099,4684,,,465,8066,16328,4496,1015,2479,18730,37262,1915,18730,,,2562,26710,57907,,,,,,,,,,,,
"AZ",20210303,11798,40371,25554,305803,46776,,,243201,430302,243201,146451,819954,1341,217,423,4619,10358,1112,4619,,,460,7917,16089,4474,1007,2466,18695,37073,1929,18695,,,2551,26575,57697,,,,,,,,,,,,
"AZ",20210228,11753,40282,25464,304962,46683,,,242379,429144,242379,145259,816782,1324,213,423,4587,10299,1094,4587,,,465,7874,15980,4468,1006,2460,18646,37024,1929,18646,,,2548,26542,57599,,,,,,,,,,,,
"AZ",20210224,11633,39876,25199,302166,46613,,,240483,425487,240483,145998,811968,1298,203,410,4486,10099,1108,4486,,,458,7730,15693,4426,1004,2435,18519,36665,1972,18519,,,2537,26263,57156,,,,,,,,,,,,
"AZ",20210221,11531,39783,25089,300984,46082,,,239208,423469,239208,145290,807967,1285,202,405,4432,9988,1085,4432,,,454,7642,15505,4410,1002,2431,18465,36516,1965,18465,,,2523,26150,56946,,,,,,,,,,,,
"AZ",20210217,11412,38773,24528,294886,44311,,,235631,413910,235631,151514,801055,1252,194,390,4304,9616,1143,4304,,,438,7342,15063,4312,989,2398,18194,35852,1937,18194,,,2427,25726,55983,,,,,,,,,,,,
"AZ",20210214,11321,38677,24403,293464,43946,,,234463,411811,234463,150996,797270,1253,193,389,4278,9564,1136,4278,,,432,7297,14978,4301,983,2385,18073,35658,1936,18073,,,2413,25576,55667,,,,,,,,,,,,
"AZ",20210210,11160,38384,24127,290599,43348,,,232163,407618,232163,149464,789245,1222,185,375,4146,9269,1047,4146,,,418,7069,14462,4273,969,2352,17915,35240,1933,17915,,,2376,25270,55088,,,,,,,,,,,,
"AZ",20210207,10982,38137,23854,287164,42591,,,229997,402728,229997,147912,780637,1186,183,368,4040,8995,1013,4040,,,399,6859,14048,4260,960,2328,17811,34921,1925,17811,,,2323,25050,54657,,,,,,,,,,,,
"AZ",20210203,10736,36399,23078,277764,41541,,,224464,389518,224464,153397,767379,1139,177,357,3904,8624,1048,3904,,,375,6576,13576,4141,942,2275,17433,34030,1969,17433,,,2266,24406,53432,,,,,,,,,,,,
"AZ",20210131,10517,36019,22762,274557,40904,,,221782,384759,221782,151863,758404,1112,169,345,3782,8357,981,3782,,,358,6373,13120,4102,927,2249,17242,33561,1961,17242,,,2218,24065,52764,,,,,,,,,,,,
"AZ",20210127,10084,35180,21727,262028,39249,,,213959,368268,213959,156334,738561,1082,156,333,3642,8017,984,3642,,,343,6103,12643,3965,888,2188,16751,32301,1985,16751,,,2122,23138,51037,,,,,,,,,,,,
"AZ",20210124,9811,34706,21293,257676,38067,,,209477,361553,209477,151544,722574,1060,144,324,3512,7765,961,3512,,,325,5912,12238,3929,873,2158,16527,31766,1971,16527,,,2069,22737,50264,,,,,,,,,,,,
"AZ",20210120,9115,31878,19901,238493,32922,,,197649,332309,197649,160586,690544,1005,128,314,3300,7265,963,3300,,,287,5531,11528,3763,824,2067,15895,30336,1976,15895,,,1950,21732,48207,,,,,,,,,,,,
"AZ",20210117,8951,31431,19637,235493,31049,,,195023,326561,195023,152298,673882,994,121,310,3233,7100,933,3233,,,273,5402,11266,3698,794,2031,15618,29511,1952,15618,,,1863,21125,47081,,,,,,,,,,,,
"AZ",20210113,8295,30538,18271,216287,28834,,,183465,302225,183465,156039,641729,962,114,290,3040,6706,927,3040,,,261,5079,10673,3587,742,1924,14983,27950,1930,14983,,,1744,19953,44863,,,,,,,,,,,,
"AZ",20210110,7878,29896,17836,209810,27898,,,177978,293318,177978,147250,618546,932,111,282,2883,6380,878,2883,,,249,4806,10141,3531,713,1871,14579,27086,1917,14579,,,1654,19317,43582,,,,,,,,,,,,
"AZ",20210106,7175,26048,16707,191453,25344,,,165961,266727,165961,141992,574680,887,93,265,2699,5848,897,2699,,,219,4384,9444,3328,647,1779,13796,25254,2013,13796,,,1541,17959,41063,,,,,,,,,,,,
"AZ",20210103,6791,25541,24886,184822,24886,,,161012,258340,161012,137032,556384,859,91,257,2603,5598,860,2603,,,204,4187,9061,3270,613,1717,13387,24366,1975,13387,,,1467,17299,39728,,,,,,,,,,,,
"AZ",20201230,6281,24398,14804,162683,22443,,,147562,230609,147562,134318,512489,839,87,243,2503,5325,890,2503,,,196,3960,8718,3123,574,1609,12406,22432,1946,12406,,,1318,15808,36784,,,,,,,,,,,,
