"State","Date","Cases_Asian","Cases_AIAN","Cases_Black","Cases_White","Cases_Other","Cases_NHPI","Cases_Multiracial","Cases_LatinX","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Hispanic","Cases_Ethnicity_Unknown","Cases_Total","Deaths_AIAN","Deaths_Asian","Deaths_Black","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Deaths_LatinX","Deaths_Multiracial","Deaths_NHPI","Deaths_Other","Deaths_White","Deaths_Total","Hospitalizations_AIAN","Hospitalizations_Asian","Hospitalizations_Black","Hospitalizations_Ethnicity_Hispanic","Hospitalizations_Ethnicity_NonHispanic","Hospitalizations_Ethnicity_Unknown","Hospitalizations_LatinX","Hospitalizations_Multiracial","Hospitalizations_NHPI","Hospitalizations_Other","Hospitalizations_White","Hospitalizations_Total","Tests_AIAN","Tests_Asian","Tests_Black","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown","Tests_LatinX","Tests_Multiracial","Tests_NHPI","Tests_Other","Tests_White","Tests_Total"
"CA",20210307,186562,9025,111279,546630,304477,15281,42824,1509103,1216078,1509103,776213,3501394,184,6105,3275,24402,28268,1454,24402,693,322,1103,16586,54124,,,,,,,,,,,,,98894,3980518,1730660,9444459,21633943,18567612,9444459,74171,222513,6354689,9172498,49646014
"CA",20210303,184765,8915,110115,541927,305557,15228,41858,1494376,1208365,1494376,782222,3484963,173,5958,3209,23768,27606,1401,23768,658,311,1092,16205,52775,,,,,,,,,,,,,97663,3930970,1709117,9326899,21364654,18336495,9326899,73247,219743,6275590,9058324,49028048
"CA",20210228,183711,8861,109591,539466,305942,15175,41370,1487225,1204116,1487225,784221,3475562,173,5875,3161,23435,27282,1262,23435,647,306,1103,16017,51979,,,,,,,,,,,,,98101,3825957,1643199,9932773,20821161,17715172,9932773,98101,220728,6204045,8731030,48469106
"CA",20210224,181664,8740,108479,534330,307021,15066,40426,1472040,1195726,1472040,787595,3455361,165,5590,3004,22371,25976,1530,22371,612,292,1064,15249,49877,,,,,,,,,,,,,96447,3761471,1615503,9765359,20470224,17416589,9765359,96447,217007,6099478,8583871,47652172
"CA",20210221,180258,8681,107741,530958,306877,14996,39910,1462751,1189421,1462751,789774,3441946,166,5504,2972,22030,25675,1400,22030,599,289,1062,15083,49105,,,,,,,,,,,,,97097,3689703,1577833,10292331,19980812,16770205,10292331,97097,218469,5974505,8326108,47043348
"CA",20210217,177919,8561,106400,524753,307324,14897,38784,1446427,1178638,1446427,791082,3416147,162,5309,2876,21267,24756,1484,21267,575,277,1015,14542,47507,,,,,,,,,,,,,95738,3638062,1555750,10148280,19701161,16535491,10148280,95738,215411,5890886,8209576,46384932
"CA",20210214,176589,8506,105625,521073,307185,14826,38297,1437235,1172101,1437235,790542,3399878,158,5241,2857,20989,24437,1417,20989,560,276,997,14348,46843,,,,,,,,,,,,,96159,3533864,1490473,10721791,19235476,15745950,10721791,72119,192319,5941418,7909124,45703217
"CA",20210210,173673,8320,103870,513077,306671,14589,36970,1415893,1157170,1415893,789918,3362981,150,5009,2749,20125,23332,1538,20125,535,258,887,13744,44995,,,,,,,,,,,,,94197,3461752,1460058,10503003,18842958,15424640,10503003,70648,188394,5820178,7747731,44770601
"CA",20210207,171443,8219,102703,507681,305167,14467,36372,1402958,1146052,1402958,786916,3335926,145,4894,2677,19624,22862,1456,19624,527,256,878,13485,43942,,,,,,,,,,,,,92388,3256679,1362724,10717016,17967279,15310027,10717016,69291,184776,5587278,7414143,43994322
"CA",20210203,167317,8029,100486,496550,302270,14174,34844,1375197,1123670,1375197,782404,3281271,135,4643,2571,18502,21645,1664,18502,491,239,805,12761,41811,,,,,,,,,,,,,,,,,,,,,,,,
