"date","state","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2021-03-07","CO",5989,5251,3,735,23904,23904,326,18,,,2199458,0,369995,,,,,436602,410976,840,0,63087,,,,,,6415123,38163,6415123,38163,435053,,,,2616541,6107,,0
"2021-03-06","CO",5986,5251,0,735,23886,23886,326,23,,,2199458,5505,368326,,,,,435762,410976,1108,0,62612,,,,,,6376960,33600,6376960,33600,433082,,,,2610434,6427,,0
"2021-03-05","CO",5986,5250,12,736,23863,23863,356,72,,,2193953,5212,366328,,,,,434654,410054,1633,0,61933,,,,,,6343360,33127,6343360,33127,430938,,,,2604007,6312,,0
"2021-03-04","CO",5974,5238,4,736,23791,23791,355,56,,,2188741,5603,364091,,,,,433021,408954,1351,0,61329,,,,,,6310233,36564,6310233,36564,428261,,,,2597695,6832,,0
"2021-03-03","CO",5970,5235,11,735,23735,23735,389,142,,,2183138,4583,361719,,,,,431670,407725,1055,0,60537,,,,,,6273669,29808,6273669,29808,425420,,,,2590863,5473,,0
"2021-03-02","CO",5959,5223,7,736,23593,23593,395,43,,,2178555,3053,359976,,,,,430615,406835,776,0,60044,,,,,,6243861,14006,6243861,14006,422256,,,,2585390,3669,,0
"2021-03-01","CO",5952,5218,1,734,23550,23550,427,74,,,2175502,2874,358510,,,,,429839,406219,1536,0,59574,,,,,,6229855,13654,6229855,13654,420020,,,,2581721,4366,,0
"2021-02-28","CO",5951,5217,6,734,23476,23476,404,17,,,2172628,4673,357344,,,,,428303,404727,841,0,59306,,,,,,6216201,25679,6216201,25679,418084,,,,2577355,5467,,0
"2021-02-27","CO",5945,5211,5,734,23459,23459,393,21,,,2167955,5022,354803,,,,,427462,403933,1264,0,58749,,,,,,6190522,31219,6190522,31219,416650,,,,2571888,6096,,0
"2021-02-26","CO",5940,5207,15,733,23438,23438,409,53,,,2162933,6034,351755,,,,,426198,402859,1521,0,58079,,,,,,6159303,39957,6159303,39957,413552,,,,2565792,7357,,0
"2021-02-25","CO",5925,5193,8,732,23385,23385,412,36,,,2156899,6982,350092,,,,,424677,401536,1119,0,57580,,,,,,6119346,39073,6119346,39073,409834,,,,2558435,7962,,0
"2021-02-24","CO",5917,5185,10,732,23349,23349,427,56,,,2149917,6888,338578,,,,,423558,400556,1168,0,55797,,,,,,6080273,36690,6080273,36690,407672,,,,2550473,7918,,0
"2021-02-23","CO",5907,5175,14,732,23293,23293,447,110,,,2143029,3994,337061,,,,,422390,399526,1096,0,55320,,,,,,6043583,17107,6043583,17107,394375,,,,2542555,4854,,0
"2021-02-22","CO",5893,5165,1,728,23183,23183,433,14,,,2139035,3784,335968,,,,,421294,398666,680,0,55045,,,,,,6026476,15137,6026476,15137,392381,,,,2537701,4430,,0
"2021-02-21","CO",5892,5164,5,728,23169,23169,440,13,,,2135251,4448,334394,,,,,420614,398020,802,0,54620,,,,,,6011339,24094,6011339,24094,391013,,,,2533271,5199,,0
"2021-02-20","CO",5887,5159,9,728,23156,23156,437,55,,,2130803,4193,332508,,,,,419812,397269,1117,0,54082,,,,,,5987245,26473,5987245,26473,389014,,,,2528072,5171,,0
"2021-02-19","CO",5878,5148,14,730,23101,23101,451,54,,,2126610,5386,330617,,,,,418695,396291,1280,0,53491,,,,,,5960772,33980,5960772,33980,386590,,,,2522901,6543,,0
"2021-02-18","CO",5864,5135,26,729,23047,23047,462,125,,,2121224,4617,329403,,,,,417415,395134,1241,0,53202,,,,,,5926792,30591,5926792,30591,384108,,,,2516358,5719,,0
"2021-02-17","CO",5838,5114,10,724,22922,22922,482,85,,,2116607,4108,327849,,,,,416174,394032,1137,0,52791,,,,,,5896201,26832,5896201,26832,382605,,,,2510639,5052,,0
"2021-02-16","CO",5828,5108,2,720,22837,22837,441,25,,,2112499,1828,326436,,,,,415037,393088,668,0,52311,,,,,,5869369,8056,5869369,8056,380640,,,,2505587,2325,,0
"2021-02-15","CO",5826,5106,2,720,22812,22812,462,15,,,2110671,2769,325347,,,,,414369,392591,533,0,52077,,,,,,5861313,9356,5861313,9356,378747,,,,2503262,3268,,0
"2021-02-14","CO",5824,5104,10,720,22797,22797,485,19,,,2107902,4289,324201,,,,,413836,392092,853,0,51825,,,,,,5851957,22002,5851957,22002,377424,,,,2499994,5124,,0
"2021-02-13","CO",5814,5094,24,720,22778,22778,481,75,,,2103613,5157,322549,,,,,412983,391257,1209,0,51235,,,,,,5829955,30597,5829955,30597,376026,,,,2494870,6261,,0
"2021-02-12","CO",5790,5071,9,719,22703,22703,470,48,,,2098456,8431,320525,,,,,411774,390153,2091,0,50461,,,,,,5799358,43208,5799358,43208,373784,,,,2488609,10293,,0
"2021-02-11","CO",5781,5063,11,718,22655,22655,507,39,,,2090025,13828,317419,,,,,409683,388291,1722,0,49359,,,,,,5756150,71519,5756150,71519,370986,,,,2478316,16006,,0
"2021-02-10","CO",5770,5055,24,715,22616,22616,534,55,,,2076197,0,317419,,,,,407961,386723,751,0,49359,,,,,,5684631,0,5684631,0,366778,,,,2462310,0,,0
"2021-02-09","CO",5746,5031,13,715,22561,22561,538,232,,,2076197,3113,315946,,,,,407210,386113,934,0,48994,,,,,,5684631,12417,5684631,12417,366778,,,,2462310,3842,,0
"2021-02-08","CO",5733,5020,2,713,22329,22329,535,23,,,2073084,4993,314239,,,,,406276,385384,987,0,48488,,,,,,5672214,18685,5672214,18685,364940,,,,2458468,5832,,0
"2021-02-07","CO",5731,5020,10,711,22306,22306,527,29,,,2068091,5694,308913,,,,,405289,384545,1034,0,46993,,,,,,5653529,25243,5653529,25243,362727,,,,2452636,6637,,0
"2021-02-06","CO",5721,5010,17,711,22277,22277,538,19,,,2062397,7057,308913,,,,,404255,383602,1541,0,46993,,,,,,5628286,33861,5628286,33861,360904,,,,2445999,8373,,0
"2021-02-05","CO",5704,4994,27,710,22258,22258,564,82,,,2055340,8821,308913,,,,,402714,382286,1863,0,46993,,,,,,5594425,43290,5594425,43290,358310,,,,2437626,10483,,0
"2021-02-04","CO",5677,4970,13,707,22176,22176,595,59,,,2046519,8041,306480,,,,,400851,380624,1584,0,46365,,,,,,5551135,36937,5551135,36937,355906,,,,2427143,9490,,0
"2021-02-03","CO",5664,4957,14,707,22117,22117,572,121,,,2038478,6571,305403,,,,,399267,379175,1269,0,46020,,,,,,5514198,32093,5514198,32093,352845,,,,2417653,7626,,0
"2021-02-02","CO",5650,4942,9,708,21996,21996,599,152,,,2031907,3429,304125,,,,,397998,378120,935,0,45740,,,,,,5482105,14235,5482105,14235,351423,,,,2410027,4148,,0
"2021-02-01","CO",5641,4932,4,709,21844,21844,611,11,,,2028478,16736,303256,,,,,397063,377401,884,0,45552,,,,,,5467870,15820,5467870,15820,349865,,,,2405879,5316,,0
"2021-01-31","CO",5637,4882,21,712,21833,21833,652,21,,,2011742,0,301448,,,,,396179,374087,1163,0,45018,,,,,,5452050,25991,5452050,25991,348808,,,,2400563,6813,,0
"2021-01-30","CO",5616,4882,22,712,21812,21812,652,68,,,2011742,0,299753,,,,,395016,374087,1595,0,44482,,,,,,5426059,32325,5426059,32325,346466,,,,2393750,7921,,0
"2021-01-29","CO",5594,4882,25,712,21744,21744,652,31,,,2011742,8470,297809,,,,,393421,374087,1722,0,43995,,,,,,5393734,50870,5393734,50870,344235,,,,2385829,10053,,0
"2021-01-28","CO",5569,4858,17,711,21713,21713,702,103,,,2003272,6241,296319,,,,,391699,372504,1441,0,43663,,,,,,5342864,32548,5342864,32548,341804,,,,2375776,7535,,0
"2021-01-27","CO",5552,4843,35,709,21610,21610,724,48,,,1997031,5620,293625,,,,,390258,371210,1638,0,42930,,,,,,5310316,30453,5310316,30453,339982,,,,2368241,7050,,0
"2021-01-26","CO",5517,4809,5,708,21562,21562,740,299,,,1991411,9007,292231,,,,,388620,369780,1158,0,42590,,,,,,5279863,16390,5279863,16390,336555,,,,2361191,5060,,0
