"State","Date","Cases_Asian","Cases_AIAN","Cases_Black","Cases_White","Cases_Other","Cases_NHPI","Cases_Multiracial","Cases_LatinX","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Hispanic","Cases_Ethnicity_Unknown","Cases_Total","Deaths_AIAN","Deaths_Asian","Deaths_Black","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Deaths_LatinX","Deaths_Multiracial","Deaths_NHPI","Deaths_Other","Deaths_White","Deaths_Total","Hospitalizations_AIAN","Hospitalizations_Asian","Hospitalizations_Black","Hospitalizations_Ethnicity_Hispanic","Hospitalizations_Ethnicity_NonHispanic","Hospitalizations_Ethnicity_Unknown","Hospitalizations_LatinX","Hospitalizations_Multiracial","Hospitalizations_NHPI","Hospitalizations_Other","Hospitalizations_White","Hospitalizations_Total","Tests_AIAN","Tests_Asian","Tests_Black","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown","Tests_LatinX","Tests_Multiracial","Tests_NHPI","Tests_Other","Tests_White","Tests_Total"
"CT",20210307,3019,393,19651,85469,15284,,17642,41523,141458,41523,102349,285330,3,83,906,782,6796,126,782,353,,38,5413,7704,,,,,,,,,,,,,,,,,,,,,,,,
"CT",20210303,2987,389,19547,84924,15108,,17417,41303,140372,41303,101947,283622,3,83,902,778,6774,126,778,350,,39,5397,7678,,,,,,,,,,,,,,,,,,,,,,,,
"CT",20210228,2923,393,19323,83545,14850,,16934,40860,137968,40860,101118,279946,3,83,902,766,6730,126,766,338,,38,5366,7622,,,,,,,,,,,,,,,,,,,,,,,,
"CT",20210224,2900,387,19180,82973,14752,,16685,40646,136877,40646,100661,278184,3,83,901,761,6710,124,761,328,,38,5357,7595,,,,,,,,,,,,,,,,,,,,,,,,
"CT",20210221,2798,387,18714,80229,14547,,16118,40170,132793,40170,100138,273101,3,82,896,750,6654,119,750,317,,38,5318,7523,,,,,,,,,,,,,,,,,,,,,,,,
"CT",20210217,2778,383,18626,79692,14433,,15873,39978,131785,39978,99593,271356,3,81,892,748,6612,116,748,310,,36,5290,7476,,,,,,,,,,,,,,,,,,,,,,,,
"CT",20210214,2711,384,18293,78245,14191,,15396,39519,129220,39519,98598,267337,3,81,884,732,6533,116,732,296,,35,5234,7381,,,,,,,,,,,,,,,,,,,,,,,,
"CT",20210210,2696,382,18189,77745,14007,,15164,39250,128183,39250,98063,265496,3,81,881,726,6484,116,726,287,,35,5197,7326,,,,,,,,,,,,,,,,,,,,,,,,
"CT",20210207,2632,382,17851,75634,13630,,14349,38252,124478,38252,96642,259372,3,81,872,711,6388,115,711,263,,34,5135,7214,,,,,,,,,,,,,,,,,,,,,,,,
"CT",20210203,2606,380,17723,74808,13412,,14062,38013,122991,38013,96000,257004,3,80,872,705,6338,114,705,250,,34,5099,7157,,,,,,,,,,,,,,,,,,,,,,,,
"CT",20210131,2530,368,17265,72760,12832,,13389,37416,119144,37416,93463,250023,3,79,864,692,6241,113,692,232,,32,5031,7046,,,,,,,,,,,,,,,,,,,,,,,,
"CT",20210127,2503,364,17113,71919,12706,,13146,37085,117751,37085,92503,247339,3,79,859,685,6178,113,685,222,,32,4983,6976,,,,,,,,,,,,,,,,,,,,,,,,
"CT",20210124,2408,353,16504,69352,12046,,12035,36003,112698,36003,89114,237815,3,78,851,664,6046,109,664,188,,32,4894,6819,,,,,,,,,,,,,,,,,,,,,,,,
