"date","state","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2021-03-07","GA",17906,15598,1,2308,56797,56797,2008,35,9263,,,0,,,,,,1023487,828336,1709,0,78312,168867,,,803515,,,0,7359069,18827,482568,1484921,,,,0,7359069,18827
"2021-03-06","GA",17905,15597,90,2308,56762,56762,2071,135,9260,,,0,,,,,,1021778,827397,2269,0,77793,168005,,,802411,,,0,7340242,24765,481545,1478232,,,,0,7340242,24765
"2021-03-05","GA",17815,15526,65,2289,56627,56627,2099,115,9236,,,0,,,,,,1019509,826117,2081,0,77232,166895,,,801097,,,0,7315477,35861,480456,1463362,,,,0,7315477,35861
"2021-03-04","GA",17750,15462,125,2288,56512,56512,2191,143,9221,,,0,,,,,,1017428,824804,2886,0,76680,166192,,,799666,,,0,7279616,28189,479300,1451169,,,,0,7279616,28189
"2021-03-03","GA",17625,15349,145,2276,56369,56369,2299,118,9186,,,0,,,,,,1014542,823008,2735,0,76149,165060,,,798161,,,0,7251427,16983,478229,1437822,,,,0,7251427,16983
"2021-03-02","GA",17480,15209,104,2271,56251,56251,2348,162,9158,,,0,,,,,,1011807,821482,3147,0,75800,163820,,,797157,,,0,7234444,19275,477580,1422062,,,,0,7234444,19275
"2021-03-01","GA",17376,15148,81,2228,56089,56089,2348,50,9132,,,0,,,,,,1008660,819730,2139,0,75711,162411,,,795852,,,0,7215169,13195,477400,1406064,,,,0,7215169,13195
"2021-02-28","GA",17295,15068,1,2227,56039,56039,2341,76,9126,,,0,,,,,,1006521,818516,2334,0,75407,161352,,,794784,,,0,7201974,19980,476724,1397752,,,,0,7201974,19980
"2021-02-27","GA",17294,15067,75,2227,55963,55963,2405,185,9115,,,0,,,,,,1004187,816973,3365,0,74913,160451,,,793286,,,0,7181994,28470,475609,1390595,,,,0,7181994,28470
"2021-02-26","GA",17219,15007,20,2212,55778,55778,2476,174,9087,,,0,,,,,,1000822,814820,3434,0,74309,159339,,,791209,,,0,7153524,27773,474319,1375548,,,,0,7153524,27773
"2021-02-25","GA",17199,14989,135,2210,55604,55604,2583,210,9036,,,0,,,,,,997388,812612,3327,0,73707,158218,,,789261,,,0,7125751,28972,473127,1360896,,,,0,7125751,28972
"2021-02-24","GA",17064,14882,137,2182,55394,55394,2615,227,8999,,,0,,,,,,994061,810473,3240,0,73122,157551,,,787153,,,0,7096779,20380,471938,1350009,,,,0,7096779,20380
"2021-02-23","GA",16927,14761,92,2166,55167,55167,2696,284,8967,,,0,,,,,,990821,808416,3780,0,72526,156556,,,785680,,,0,7076399,19117,470774,1333372,,,,0,7076399,19117
"2021-02-22","GA",16835,14689,91,2146,54883,54883,2760,130,8931,,,0,,,,,,987041,806119,1536,0,72459,155590,,,784449,,,0,7057282,15053,470584,1318989,,,,0,7057282,15053
"2021-02-21","GA",16744,14633,2,2111,54753,54753,2778,106,8927,,,0,,,,,,985505,804812,1758,0,72085,155284,,,782965,,,0,7042229,22719,469788,1316079,,,,0,7042229,22719
"2021-02-20","GA",16742,14629,132,2113,54647,54647,2840,213,8924,,,0,,,,,,983747,803349,3336,0,71431,154830,,,781166,,,0,7019510,31286,468310,1312100,,,,0,7019510,31286
"2021-02-19","GA",16610,14530,207,2080,54434,54434,2973,261,8898,,,0,,,,,,980411,800959,3679,0,70995,154024,,,778851,,,0,6988224,24512,467159,1300188,,,,0,6988224,24512
"2021-02-18","GA",16403,14358,130,2045,54173,54173,3117,293,8869,,,0,,,,,,976732,798785,3485,0,70383,152547,,,776980,,,0,6963712,48940,465859,1280884,,,,0,6963712,48940
"2021-02-17","GA",16273,14254,99,2019,53880,53880,3176,222,8838,,,0,,,,,,973247,796547,3545,0,69684,,,,769319,,,0,6914772,19391,464369,,,,,0,6914772,19391
"2021-02-16","GA",16174,14176,246,1998,53658,53658,3119,255,8801,,,0,,,,,,969702,794349,2895,0,69353,,,,767461,,,0,6895381,24704,463685,,,,,0,6895381,24704
"2021-02-15","GA",15928,13997,57,1931,53403,53403,3181,24,8762,,,0,,,,,,966807,792509,2070,0,69202,,,,765545,,,0,6870677,17616,463362,,,,,0,6870677,17616
"2021-02-14","GA",15871,13964,21,1907,53379,53379,3271,39,8760,,,0,,,,,,964737,790779,1929,0,68803,,,,763583,,,0,6853061,24113,462492,,,,,0,6853061,24113
"2021-02-13","GA",15850,13961,142,1889,53340,53340,3385,229,8756,,,0,,,,,,962808,789070,3823,0,68116,,,,761246,,,0,6828948,35988,460940,,,,,0,6828948,35988
"2021-02-12","GA",15708,13856,195,1852,53111,53111,3362,258,8741,,,0,,,,,,958985,786277,3900,0,67173,,,,758098,,,0,6792960,27070,458930,,,,,0,6792960,27070
"2021-02-11","GA",15513,13672,92,1841,52853,52853,3511,310,8717,,,0,,,,,,955085,783821,4179,0,66659,,,,755717,,,0,6765890,31509,457835,,,,,0,6765890,31509
"2021-02-10","GA",15421,13599,120,1822,52543,52543,3617,281,8684,,,0,,,,,,950906,780494,3490,0,66061,,,,752452,,,0,6734381,22794,456581,,,,,0,6734381,22794
"2021-02-09","GA",15301,13481,171,1820,52262,52262,3689,334,8651,,,0,,,,,,947416,778049,3721,0,65804,,,,750186,,,0,6711587,24135,455997,,,,,0,6711587,24135
"2021-02-08","GA",15130,13361,38,1769,51928,51928,3715,86,8601,,,0,,,,,,943695,775466,2704,0,65662,,,,747779,,,0,6687452,23176,455663,,,,,0,6687452,23176
"2021-02-07","GA",15092,13326,2,1766,51842,51842,3740,110,8598,,,0,,,,,,940991,772978,3589,0,64668,,,,744698,,,0,6664276,35699,453432,,,,,0,6664276,35699
"2021-02-06","GA",15090,13324,232,1766,51732,51732,4239,253,8590,,,0,,,,,,937402,769825,4490,0,64114,,,,740654,,,0,6628577,31527,452034,,,,,0,6628577,31527
