"date","state","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2021-03-07","HI",445,445,1,,2226,2226,27,0,,5,,0,,,,,3,28699,27891,53,0,,,,,27774,,1146796,5117,1146796,5117,,,,,,0,,0
"2021-03-06","HI",444,444,1,,2226,2226,27,1,,5,,0,,,,,3,28646,27838,85,0,,,,,27726,,1141679,5284,1141679,5284,,,,,,0,,0
"2021-03-05","HI",443,443,2,,2225,2225,28,0,,5,,0,,,,,3,28561,27753,95,0,,,,,27648,,1136395,5302,1136395,5302,,,,,,0,,0
"2021-03-04","HI",441,441,0,,2225,2225,28,-1,,5,,0,,,,,3,28466,27699,59,0,,,,,27595,,1131093,6227,1131093,6227,,,,,,0,,0
"2021-03-03","HI",441,441,2,,2226,2226,26,0,,7,,0,,,,,3,28407,27640,17,0,,,,,27528,,1124866,4206,1124866,4206,,,,,,0,,0
"2021-03-02","HI",439,439,0,,2226,2226,31,12,,6,,0,,,,,3,28390,27623,35,0,,,,,27514,,1120660,3503,1120660,3503,,,,,,0,,0
"2021-03-01","HI",439,439,0,,2214,2214,31,0,,3,,0,,,,,3,28355,27588,29,0,,,,,27477,,1117157,4179,1117157,4179,,,,,,0,,0
"2021-02-28","HI",439,439,0,,2214,2214,30,0,,3,,0,,,,,3,28326,27559,56,0,,,,,27437,,1112978,5461,1112978,5461,,,,,,0,,0
"2021-02-27","HI",439,439,2,,2214,2214,30,0,,3,,0,,,,,3,28270,27503,104,0,,,,,27366,,1107517,22034,1107517,22034,,,,,,0,,0
"2021-02-26","HI",437,437,2,,2214,2214,30,5,,3,,0,,,,,3,28166,27399,78,0,,,,,26939,,1085483,4768,1085483,4768,,,,,,0,,0
"2021-02-25","HI",435,435,0,,2209,2209,34,5,,5,,0,,,,,5,28088,27358,38,0,,,,,26900,,1080715,5490,1080715,5490,,,,,,0,,0
"2021-02-24","HI",435,435,4,,2204,2204,37,8,,6,,0,,,,,6,28050,27320,50,0,,,,,26853,,1075225,5055,1075225,5055,,,,,,0,,0
"2021-02-23","HI",431,431,0,,2196,2196,37,-14,,7,,0,,,,,6,28000,27270,47,0,,,,,26785,,1070170,784,1070170,784,,,,,,0,,0
"2021-02-22","HI",431,431,0,,2210,2210,54,28,,24,,0,,,,,23,27953,27223,49,0,,,,,26748,,1069386,5810,1069386,5810,,,,,,0,,0
"2021-02-21","HI",431,431,1,,2182,2182,42,0,,11,,0,,,,,7,27904,27174,67,0,,,,,26711,,1063576,9477,1063576,9477,,,,,,0,,0
"2021-02-20","HI",430,430,0,,2182,2182,42,0,,11,,0,,,,,7,27837,27107,59,0,,,,,26648,,1054099,303,1054099,303,,,,,,0,,0
"2021-02-19","HI",430,430,2,,2182,2182,42,3,,11,,0,,,,,7,27778,27048,61,0,,,,,26569,,1053796,4498,1053796,4498,,,,,,0,,0
"2021-02-18","HI",428,428,1,,2179,2179,39,5,,12,,0,,,,,8,27717,27000,65,0,,,,,26534,,1049298,7642,1049298,7642,,,,,,0,,0
"2021-02-17","HI",427,427,1,,2174,2174,39,0,,12,,0,,,,,8,27652,26935,29,0,,,,,26458,,1041656,2184,1041656,2184,,,,,,0,,0
"2021-02-16","HI",426,426,0,,2174,2174,38,25,,14,,0,,,,,9,27623,26906,17,0,,,,,26433,,1039472,459,1039472,459,,,,,,0,,0
