"State","Date","Cases_Asian","Cases_AIAN","Cases_Black","Cases_White","Cases_Other","Cases_NHPI","Cases_Multiracial","Cases_LatinX","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Hispanic","Cases_Ethnicity_Unknown","Cases_Total","Deaths_AIAN","Deaths_Asian","Deaths_Black","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Deaths_LatinX","Deaths_Multiracial","Deaths_NHPI","Deaths_Other","Deaths_White","Deaths_Total","Hospitalizations_AIAN","Hospitalizations_Asian","Hospitalizations_Black","Hospitalizations_Ethnicity_Hispanic","Hospitalizations_Ethnicity_NonHispanic","Hospitalizations_Ethnicity_Unknown","Hospitalizations_LatinX","Hospitalizations_Multiracial","Hospitalizations_NHPI","Hospitalizations_Other","Hospitalizations_White","Hospitalizations_Total","Tests_AIAN","Tests_Asian","Tests_Black","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown","Tests_LatinX","Tests_Multiracial","Tests_NHPI","Tests_Other","Tests_White","Tests_Total"
"KY",20210307,3680,833,26883,286431,,374,16253,,300330,17452,92927,410709,4,23,371,73,4219,527,,118,2,,3981,4819,,,,,,,,,,,,,,,,,,,,,,,,
"KY",20210303,3624,823,26476,263025,,374,15899,,297396,17329,92648,407373,4,22,369,71,4116,517,,112,2,,3838,4704,,,,,,,,,,,,,,,,,,,,,,,,
"KY",20210228,3603,813,26247,262754,,369,15733,,294780,17185,92657,404622,4,22,364,71,4051,515,,112,2,,3776,4637,,,,,,,,,,,,,,,,,,,,,,,,
"KY",20210224,3590,809,26161,261743,,369,15655,,291102,16990,92215,400307,4,22,355,69,3951,507,,110,2,,3684,4527,,,,,,,,,,,,,,,,,,,,,,,,
"KY",20210221,3555,803,25922,259646,,364,15455,,287899,16838,92260,396997,4,22,346,68,3878,501,,106,1,,3620,4447,,,,,,,,,,,,,,,,,,,,,,,,
"KY",20210217,3513,789,25594,256350,,359,15214,,283398,16608,91766,391772,4,22,336,67,3774,495,,106,1,,3521,4336,,,,,,,,,,,,,,,,,,,,,,,,
"KY",20210214,3486,751,25306,253424,,355,14954,,279690,16452,92656,388798,4,22,331,66,3722,494,,106,1,,3475,4282,,,,,,,,,,,,,,,,,,,,,,,,
"KY",20210210,3420,742,24919,249944,,347,14677,,274077,16231,92724,383032,4,22,323,66,3632,477,,105,1,,3387,4175,,,,,,,,,,,,,,,,,,,,,,,,
"KY",20210207,3375,735,24631,246596,,341,14502,,269836,16095,91859,377790,4,21,317,66,3512,473,,103,1,,3275,4051,,,,,,,,,,,,,,,,,,,,,,,,
"KY",20210203,3304,716,24141,241550,,333,14239,,262834,15880,90805,369519,3,20,308,65,3341,457,,97,1,,3115,3863,,,,,,,,,,,,,,,,,,,,,,,,
"KY",20210131,3241,702,23733,237091,,323,13938,,256353,15642,90895,362890,3,20,302,61,3232,452,,91,1,,3013,3745,,,,,,,,,,,,,,,,,,,,,,,,
"KY",20210127,3147,674,23093,231094,,310,13498,,246572,15273,91098,352943,3,20,287,58,3061,423,,86,1,,2849,3542,,,,,,,,,,,,,,,,,,,,,,,,
"KY",20210124,3109,661,22781,227161,,304,13282,,241983,15092,89511,346586,3,19,278,56,2953,412,,85,1,,2749,3421,,,,,,,,,,,,,,,,,,,,,,,,
"KY",20210120,3055,642,22268,220641,,282,12872,,233934,14806,85581,334321,2,19,265,55,2802,386,,79,1,,2605,3243,,,,,,,,,,,,,,,,,,,,,,,,
"KY",20210117,3000,626,21842,215945,,275,12571,,227922,14576,84177,326675,2,19,259,54,2708,365,,77,1,,2509,3127,,,,,,,,,,,,,,,,,,,,,,,,
"KY",20210113,2898,601,21146,208490,,261,12145,,218151,14218,80913,313282,2,18,250,53,2588,350,,75,1,,2399,2991,,,,,,,,,,,,,,,,,,,,,,,,
"KY",20210110,2823,590,20565,202750,,243,11687,,210580,13811,79234,303625,2,17,245,53,2501,347,,69,1,,2328,2901,,,,,,,,,,,,,,,,,,,,,,,,
"KY",20210106,2685,558,19654,177925,,177,10827,,195796,9897,80848,286541,2,17,240,51,2416,339,,67,1,,2244,2806,,,,,,,,,,,,,,,,,,,,,,,,
"KY",20210103,2614,546,,171641,,176,10523,,188818,9898,78110,276826,2,17,237,51,2343,329,,67,1,,2176,2723,,,,,,,,,,,,,,,,,,,,,,,,
"KY",20201230,2524,531,18620,165180,,173,10117,,181303,9898,74061,265262,2,17,234,51,2258,314,,64,1,,2091,2623,,,,,,,,,,,,,,,,,,,,,,,,
"KY",20201227,2469,525,18197,160026,,173,9844,,174869,9895,72299,257063,2,17,230,51,2202,302,,63,1,,2036,2555,,,,,,,,,,,,,,,,,,,,,,,,
"KY",20201223,2409,510,17793,156212,,171,9657,,168388,9895,69778,250280,2,17,226,51,2123,292,,62,1,,1963,2466,,,,,,,,,,,,,,,,,,,,,,,,
"KY",20201220,2333,493,17294,151486,,169,9362,,164574,9882,67865,242321,1,17,222,51,2064,282,,58,1,,1910,2397,,,,,,,,,,,,,,,,,,,,,,,,
"KY",20201216,2208,463,16488,145365,,166,8845,,153371,9882,67440,230693,1,17,212,50,1953,259,,53,1,,1806,2262,,,,,,,,,,,,,,,,,,,,,,,,
"KY",20201213,2139,438,16101,141002,,168,8573,,148190,9879,65035,223104,1,17,207,50,1907,250,,53,0,,1763,2207,,,,,,,,,,,,,,,,,,,,,,,,
"KY",20201209,2049,416,15338,134063,,160,8085,,139799,9878,59459,209136,0,15,202,48,1827,243,,49,0,,1687,2118,,,,,,,,,,,,,,,,,,,,,,,,
"KY",20201206,1991,401,14867,129175,,154,7796,,134528,9846,56258,200632,0,14,201,46,1786,240,,49,0,,1645,2072,,,,,,,,,,,,,,,,,,,,,,,,
"KY",20201202,1892,378,14119,121706,,160,7292,,125373,9843,51549,186765,1,13,183,45,1643,292,,45,0,,1466,1980,,,,,,,,,,,,,,,,,,,,,,,,
"KY",20201129,1815,374,13569,115705,,152,6985,,119264,9837,47824,176925,1,13,183,45,1643,208,,45,0,,1466,1896,,,,,,,,,,,,,,,,,,,,,,,,
"KY",20201125,1704,350,12898,103766,,137,6493,,112091,8774,45274,166139,,13,186,45,1589,201,,45,,,1456,1835,,,,,,,,,,,,,,,,,,,,,,,,
"KY",20201122,1654,335,12370,99181,,143,6185,,105987,8729,43384,158100,,13,185,44,1548,195,,44,,,1414,1787,,,,,,,,,,,,,,,,,,,,,,,,
"KY",20201118,1579,313,11625,92564,,134,5790,,98320,8724,37709,144753,,13,182,45,1544,123,,44,,,1348,1712,,,,,,,,,,,,,,,,,,,,,,,,
"KY",20201115,516,289,11129,84911,,134,5451,,92926,8377,36283,137586,,13,178,44,1443,174,,43,,,1312,1661,,,,,,,,,,,,,,,,,,,,,,,,
"KY",20201111,516,278,10442,78776,,124,5005,,85795,8082,33467,127344,,12,174,44,1394,166,,43,,,1264,1604,,,,,,,,,,,,,,,,,,,,,,,,
"KY",20201108,516,284,10249,74278,,119,5308,,79779,7803,33256,120838,,12,172,42,1360,163,,41,,,1230,1565,,,,,,,,,,,,,,,,,,,,,,,,
"KY",20201104,516,259,9472,70344,,112,4926,,75596,7622,29791,113009,,12,167,43,1313,158,,39,,,1185,1514,,,,,,,,,,,,,,,,,,,,,,,,
"KY",20201101,516,255,9215,66782,,107,4772,,73111,7381,28150,108642,,12,166,42,1292,155,,40,,,1166,1489,,,,,,,,,,,,,,,,,,,,,,,,
"KY",20201028,516,242,8854,63260,,101,4572,,69259,7185,25050,101494,,11,161,42,1248,152,,39,,,1128,1442,,,,,,,,,,,,,,,,,,,,,,,,
"KY",20201025,516,232,8577,60429,,104,4393,,66537,6992,23413,96942,,12,156,42,1221,145,,38,,,1105,1407,,,,,,,,,,,,,,,,,,,,,,,,
"KY",20201021,516,221,8218,55328,,96,4168,,63290,6666,21040,90996,0,12,154,41,1181,141,,36,,,1065,1363,,,,,,,,,,,,,,,,,,,,,,,,
"KY",20201018,516,220,7991,55230,,96,4043,,61325,6640,19642,87607,0,12,151,40,1139,138,,36,,,1027,1317,,,,,,,,,,,,,,,,,,,,,,,,
"KY",20201014,516,201,6672,43331,,70,3246,,48200,4977,29836,83013,0,11,147,39,1077,160,,34,,,971,1276,,,,,,,,,,,,,,,,,,,,,,,,
