"State","Date","Cases_Asian","Cases_AIAN","Cases_Black","Cases_White","Cases_Other","Cases_NHPI","Cases_Multiracial","Cases_LatinX","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Hispanic","Cases_Ethnicity_Unknown","Cases_Total","Deaths_AIAN","Deaths_Asian","Deaths_Black","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Deaths_LatinX","Deaths_Multiracial","Deaths_NHPI","Deaths_Other","Deaths_White","Deaths_Total","Hospitalizations_AIAN","Hospitalizations_Asian","Hospitalizations_Black","Hospitalizations_Ethnicity_Hispanic","Hospitalizations_Ethnicity_NonHispanic","Hospitalizations_Ethnicity_Unknown","Hospitalizations_LatinX","Hospitalizations_Multiracial","Hospitalizations_NHPI","Hospitalizations_Other","Hospitalizations_White","Hospitalizations_Total","Tests_AIAN","Tests_Asian","Tests_Black","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown","Tests_LatinX","Tests_Multiracial","Tests_NHPI","Tests_Other","Tests_White","Tests_Total"
"MD",20210307,8867,,112033,134697,18321,,,62261,273918,62261,51140,387319,,277,2736,727,7171,57,727,,,80,4078,7955,,,,,,,,,,,,,,,,,,,,,,,,
"MD",20210303,8706,,110215,132787,17998,,,61746,269706,61746,52504,383956,,273,2723,724,7133,62,724,,,78,4059,7919,,,,,,,,,,,,,,,,,,,,,,,,
"MD",20210228,8623,,109532,132094,17938,,,61466,268187,61466,52446,382099,,273,2711,720,7093,56,720,,,76,4033,7869,,,,,,,,,,,,,,,,,,,,,,,,
"MD",20210224,8500,,108275,130687,17771,,,61045,265233,61045,52212,378490,,270,2670,711,6993,85,711,,,75,3978,7789,,,,,,,,,,,,,,,,,,,,,,,,
"MD",20210221,8444,,107496,129833,17674,,,60808,263447,60808,52100,376355,,269,2656,706,6937,72,706,,,75,3937,7715,,,,,,,,,,,,,,,,,,,,,,,,
"MD",20210217,8340,,106360,128441,17497,,,60448,260638,60448,51894,372980,,264,2631,700,6863,67,700,,,74,3894,7630,,,,,,,,,,,,,,,,,,,,,,,,
"MD",20210214,8269,,105686,127674,17372,,,60190,259001,60190,51792,370983,,260,2611,697,6793,64,697,,,74,3848,7554,,,,,,,,,,,,,,,,,,,,,,,,
"MD",20210210,8152,,104313,125916,17163,,,59637,255544,59637,51485,366666,,256,2574,694,6699,53,694,,,73,3796,7446,,,,,,,,,,,,,,,,,,,,,,,,
"MD",20210207,8046,,103326,124776,17038,,,59224,253186,59224,51240,363650,,255,2545,686,6620,43,686,,,74,3746,7349,,,,,,,,,,,,,,,,,,,,,,,,
"MD",20210203,7863,,101453,122277,16793,,,58447,248386,58447,50650,357483,,253,2510,672,6502,46,672,,,71,3668,7220,,,,,,,,,,,,,,,,,,,,,,,,
"MD",20210131,7773,,100529,121178,16650,,,58018,246130,58018,50325,354473,,247,2488,664,6418,45,664,,,66,3617,7127,,,,,,,,,,,,,,,,,,,,,,,,
"MD",20210127,7564,,98200,117997,16213,,,57054,239974,57054,49531,346559,,240,2445,657,6285,54,657,,,67,3533,6996,,,,,,,,,,,,,,,,,,,,,,,,
"MD",20210124,7398,,96685,116088,15969,,,56337,236140,56337,48975,341452,,234,2415,648,6164,53,648,,,66,3449,6865,,,,,,,,,,,,,,,,,,,,,,,,
"MD",20210120,7166,,94096,112492,15570,,,55152,229324,55152,47877,332353,,231,2378,633,5999,57,633,,,65,3325,6689,,,,,,,,,,,,,,,,,,,,,,,,
"MD",20210117,7013,,92478,110133,15297,,,54329,224921,54329,47195,326445,,223,2337,622,5867,78,622,,,65,3242,6567,,,,,,,,,,,,,,,,,,,,,,,,
"MD",20210113,6692,,89445,105437,14673,,,52739,216247,52739,45881,314867,,216,2303,612,5727,65,612,,,63,3145,6404,,,,,,,,,,,,,,,,,,,,,,,,
"MD",20210110,6490,,87442,102162,14272,,,51723,210366,51723,44585,306674,,210,2281,608,5612,52,608,,,62,3059,6272,,,,,,,,,,,,,,,,,,,,,,,,
"MD",20210106,6129,,84111,96496,13534,,,50017,200270,50017,42617,292904,,200,2224,598,5459,75,598,,,63,2972,6132,,,,,,,,,,,,,,,,,,,,,,,,
