"State","Date","Cases_Asian","Cases_AIAN","Cases_Black","Cases_White","Cases_Other","Cases_NHPI","Cases_Multiracial","Cases_LatinX","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Hispanic","Cases_Ethnicity_Unknown","Cases_Total","Deaths_AIAN","Deaths_Asian","Deaths_Black","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Deaths_LatinX","Deaths_Multiracial","Deaths_NHPI","Deaths_Other","Deaths_White","Deaths_Total","Hospitalizations_AIAN","Hospitalizations_Asian","Hospitalizations_Black","Hospitalizations_Ethnicity_Hispanic","Hospitalizations_Ethnicity_NonHispanic","Hospitalizations_Ethnicity_Unknown","Hospitalizations_LatinX","Hospitalizations_Multiracial","Hospitalizations_NHPI","Hospitalizations_Other","Hospitalizations_White","Hospitalizations_Total","Tests_AIAN","Tests_Asian","Tests_Black","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown","Tests_LatinX","Tests_Multiracial","Tests_NHPI","Tests_Other","Tests_White","Tests_Total"
"MI",20210307,10362,3596,74321,378135,35465,,25954,,421946,33855,200271,656072,79,179,3634,480,13206,2972,,270,,425,11205,16658,,,,,,,,,,,,,,,,,,,,,,,,
"MI",20210303,10287,3563,73719,374695,35251,,25774,,418606,33670,198486,650762,79,178,3615,476,13130,2944,,269,,421,11135,16550,,,,,,,,,,,,,,,,,,,,,,,,
"MI",20210228,10176,3522,73208,371056,35054,,25582,,415008,33433,197109,645550,79,177,3608,473,13089,2946,,268,,419,11098,16508,,,,,,,,,,,,,,,,,,,,,,,,
"MI",20210224,10086,3491,72690,368168,34848,,25396,,411986,33227,196057,641270,78,176,3593,468,12995,2926,,262,,415,11019,16389,,,,,,,,,,,,,,,,,,,,,,,,
"MI",20210221,9991,3458,72139,365053,34562,,25248,,409016,32939,194314,636269,78,177,3585,459,12943,2940,,260,,412,10975,16342,,,,,,,,,,,,,,,,,,,,,,,,
"MI",20210217,9915,3417,71678,362687,34397,,25105,,406639,32785,193348,632772,76,174,3562,454,12808,2898,,256,,407,10843,16160,,,,,,,,,,,,,,,,,,,,,,,,
"MI",20210214,9838,3399,71151,360144,34227,,24978,,404024,32558,192374,628956,75,169,3558,446,12769,2904,,256,,406,10807,16119,,,,,,,,,,,,,,,,,,,,,,,,
"MI",20210210,9718,3373,70580,357461,34022,,24795,,401053,32312,191605,624970,75,166,3543,443,12627,2869,,251,,403,10668,15939,,,,,,,,,,,,,,,,,,,,,,,,
"MI",20210207,9604,3341,69990,354363,33837,,24608,,397978,32128,190579,620685,76,163,3529,442,12539,2873,,248,,404,10593,15854,,,,,,,,,,,,,,,,,,,,,,,,
"MI",20210203,9508,3308,69395,351094,33603,,24437,,394668,31859,189333,615860,76,158,3503,435,12376,2833,,242,,399,10442,15644,,,,,,,,,,,,,,,,,,,,,,,,
"MI",20210131,9382,3273,68789,346982,33305,,24239,,390629,31541,187968,610138,73,158,3493,426,12295,2804,,241,,395,10342,15525,,,,,,,,,,,,,,,,,,,,,,,,
"MI",20210127,9228,3232,68066,343029,32991,,24011,,386414,31258,186561,604233,73,156,3459,423,12138,2753,,239,,388,10190,15314,,,,,,,,,,,,,,,,,,,,,,,,
"MI",20210124,9051,3188,67196,338033,32612,,23725,,381236,30856,184654,596746,73,156,3440,423,12031,2727,,232,,390,10080,15181,,,,,,,,,,,,,,,,,,,,,,,,
"MI",20210120,8890,3140,66397,333440,32258,,23424,,376303,30468,183098,589869,67,153,3400,414,11721,2635,,227,,383,9773,14770,,,,,,,,,,,,,,,,,,,,,,,,
"MI",20210117,8706,3095,65492,327989,31842,,23111,,370643,30043,181099,581785,67,152,3379,409,11616,2644,,228,,383,9687,14669,,,,,,,,,,,,,,,,,,,,,,,,
"MI",20210113,8487,3034,64518,322553,31421,,22774,,364795,29585,178898,573278,66,148,3340,397,11374,2565,,218,,371,9413,14336,,,,,,,,,,,,,,,,,,,,,,,,
"MI",20210110,8248,2961,63301,315477,30942,,22276,,357076,28964,176513,562553,65,145,3317,389,11198,2558,,218,,376,9239,14145,,,,,,,,,,,,,,,,,,,,,,,,
"MI",20210106,8018,2909,62022,308346,30411,,21834,,348891,28387,174220,551498,64,143,3260,370,10817,2480,,211,,362,8866,13667,,,,,,,,,,,,,,,,,,,,,,,,
"MI",20210103,7791,2817,29787,299670,29787,,21291,,339637,27689,170795,538121,63,132,3226,356,10534,2416,,218,,349,8560,13306,,,,,,,,,,,,,,,,,,,,,,,,
