"date","state","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2021-03-07","MT",1381,,0,,4630,4630,63,1,,12,,0,,,,,6,100914,95390,72,0,,,,,,97943,,0,1104488,3132,,,,,,0,1104488,3132
"2021-03-06","MT",1381,,2,,4629,4629,63,19,,12,,0,,,,,6,100842,95336,186,0,,,,,,97801,,0,1101356,4443,,,,,,0,1101356,4443
"2021-03-05","MT",1379,,4,,4610,4610,67,2,,12,,0,,,,,7,100656,95509,125,0,,,,,,97541,,0,1096913,5391,,,,,,0,1096913,5391
"2021-03-04","MT",1375,,2,,4608,4608,73,8,,14,,0,,,,,7,100531,95413,180,0,,,,,,97499,,0,1091522,4974,,,,,,0,1091522,4974
"2021-03-03","MT",1373,,1,,4600,4600,67,9,,13,,0,,,,,7,100351,95256,193,0,,,,,,97327,,0,1086548,4986,,,,,,0,1086548,4986
"2021-03-02","MT",1372,,15,,4591,4591,83,7,,20,,0,,,,,7,100158,95381,155,0,,,,,,97199,,0,1081562,1891,,,,,,0,1081562,1891
"2021-03-01","MT",1357,,0,,4584,4584,68,3,,13,,0,,,,,6,100003,95472,49,0,,,,,,97037,,0,1079671,1683,,,,,,0,1079671,1683
"2021-02-28","MT",1357,,1,,4581,4581,68,2,,13,,0,,,,,6,99954,95430,117,0,,,,,,96982,,0,1077988,3551,,,,,,0,1077988,3551
"2021-02-27","MT",1356,,2,,4579,4579,68,8,,13,,0,,,,,6,99837,95360,224,0,,,,,,96724,,0,1074437,4473,,,,,,0,1074437,4473
"2021-02-26","MT",1354,,4,,4571,4571,76,4,,14,,0,,,,,7,99613,95356,168,0,,,,,,96362,,0,1069964,6545,,,,,,0,1069964,6545
"2021-02-25","MT",1350,,2,,4567,4567,75,8,,15,,0,,,,,6,99445,95356,203,0,,,,,,96178,,0,1063419,7249,,,,,,0,1063419,7249
"2021-02-24","MT",1348,,2,,4559,4559,97,5,,18,,0,,,,,12,99242,95439,202,0,,,,,,96040,,0,1056170,3437,,,,,,0,1056170,3437
"2021-02-23","MT",1346,,5,,4554,4554,85,27,,21,,0,,,,,13,99040,95556,230,0,,,,,,95772,,0,1052733,2341,,,,,,0,1052733,2341
"2021-02-22","MT",1341,,-1,,4527,4527,78,5,,18,,0,,,,,11,98810,95524,31,0,,,,,,95299,,0,1050392,1491,,,,,,0,1050392,1491
"2021-02-21","MT",1342,,1,,4522,4522,78,5,,18,,0,,,,,11,98779,95500,138,0,,,,,,95211,,0,1048901,3228,,,,,,0,1048901,3228
"2021-02-20","MT",1341,,2,,4517,4517,78,11,,18,,0,,,,,11,98641,95400,264,0,,,,,,94874,,0,1045673,5329,,,,,,0,1045673,5329
