"date","state","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2021-03-07","NH",1184,,3,,1131,1131,68,4,348,,579582,396,,,,,,76861,54064,166,0,,,,,,73615,,0,1497185,15697,39545,205103,37918,,633646,521,1497185,15697
"2021-03-06","NH",1181,,3,,1127,1127,90,1,348,,579186,1496,,,,,,76695,53939,273,0,,,,,,73327,,0,1481488,0,39484,201268,37902,,633125,1680,1481488,0
"2021-03-05","NH",1178,,0,,1126,1126,90,-1,348,,577690,445,,,,,,76422,53755,244,0,,,,,,73004,,0,1481488,7047,39484,201268,37863,,631445,619,1481488,7047
"2021-03-04","NH",1178,,3,,1127,1127,92,4,348,,577245,1620,,,,,,76178,53581,188,0,,,,,,72809,,0,1474441,7052,39421,198915,37805,,630826,1781,1474441,7052
"2021-03-03","NH",1175,,5,,1123,1123,89,4,347,,575625,-447,,,,,,75990,53420,187,0,,,,,,72600,,0,1467389,1914,39358,198053,37750,,629045,-320,1467389,1914
"2021-03-02","NH",1170,,0,,1119,1119,88,1,346,,576072,150,,,,,,75803,53293,215,0,,,,,,72359,,0,1465475,3896,39347,197267,37741,,629365,239,1465475,3896
"2021-03-01","NH",1170,,0,,1118,1118,90,0,345,,575922,-681,,,,,,75588,53204,164,0,,,,,,72055,,0,1461579,2829,39325,194993,37723,,629126,-563,1461579,2829
"2021-02-28","NH",1170,,0,,1118,1118,87,4,345,,576603,157,,,,,,75424,53086,258,0,,,,,,71722,,0,1458750,7065,39290,194085,37687,,629689,363,1458750,7065
"2021-02-27","NH",1170,,3,,1114,1114,93,5,345,,576446,986,,,,,,75166,52880,273,0,,,,,,71324,,0,1451685,15017,39267,193551,37668,,629326,1184,1451685,15017
"2021-02-26","NH",1167,,4,,1109,1109,95,3,344,,575460,651,,,,,,74893,52682,325,0,,,,,,70899,,0,1436668,0,39155,188515,37609,,628142,866,1436668,0
"2021-02-25","NH",1163,,6,,1106,1106,97,5,343,,574809,1599,,,,,,74568,52467,310,0,,,,,,70547,,0,1436668,17172,39155,188515,37558,,627276,1811,1436668,17172
"2021-02-24","NH",1157,,2,,1101,1101,103,6,342,,573210,1309,,,,,,74258,52255,335,0,,,,,,70318,,0,1419496,5611,39056,185376,37511,,625465,1511,1419496,5611
"2021-02-23","NH",1155,,1,,1095,1095,112,2,341,,571901,425,,,,,,73923,52053,258,0,,,,,,70040,,0,1413885,0,39002,184283,37467,,623954,560,1413885,0
"2021-02-22","NH",1154,,0,,1093,1093,109,0,340,,571476,180,,,,,,73665,51918,252,0,,,,,,69628,,0,1413885,3154,39002,184283,37436,,623394,348,1413885,3154
"2021-02-21","NH",1154,,1,,1093,1093,109,1,339,,571296,807,,,,,,73413,51750,252,0,,,,,,69319,,0,1410731,7489,38983,183338,37421,,623046,985,1410731,7489
"2021-02-20","NH",1153,,1,,1092,1092,109,0,338,,570489,1550,,,,,,73161,51572,394,0,,,,,,68927,,0,1403242,9549,38942,182334,37386,,622061,1813,1403242,9549
"2021-02-19","NH",1152,,2,,1092,1092,116,7,338,,568939,1144,,,,,,72767,51309,368,0,,,,,,68559,,0,1393693,6782,38859,179392,37313,,620248,1345,1393693,6782
"2021-02-18","NH",1150,,2,,1085,1085,126,2,338,,567795,591,,,,,,72399,51108,434,0,,,,,,68201,,0,1386911,9808,38832,176159,37290,,618903,902,1386911,9808
"2021-02-17","NH",1148,,12,,1083,1083,126,3,338,,567204,888,,,,,,71965,50797,750,0,,,,,,67445,,0,1377103,6214,38765,172069,37226,,618001,1112,1377103,6214
"2021-02-16","NH",1136,,1,,1080,1080,119,3,336,,566316,-234,,,,,,71215,50573,198,0,,,,,,67222,,0,1370889,4473,38713,168093,37178,,616889,-139,1370889,4473
"2021-02-15","NH",1135,,2,,1077,1077,125,2,336,,566550,431,,,,,,71017,50478,232,0,,,,,,66929,,0,1366416,3268,38697,165284,37164,,617028,609,1366416,3268
"2021-02-14","NH",1133,,3,,1075,1075,126,2,336,,566119,412,,,,,,70785,50300,280,0,,,,,,66287,,0,1363148,7896,38670,164366,37136,,616419,620,1363148,7896
"2021-02-13","NH",1130,,4,,1073,1073,128,2,336,,565707,527,,,,,,70505,50092,433,0,,,,,,66122,,0,1355252,13771,38628,163630,37090,,615799,809,1355252,13771
"2021-02-12","NH",1126,,9,,1071,1071,131,2,334,,565180,1530,,,,,,70072,49810,460,0,,,,,,65730,,0,1341481,0,38497,154952,37010,,614990,1780,1341481,0
"2021-02-11","NH",1117,,1,,1069,1069,138,4,334,,563650,1721,,,,,,69612,49560,365,0,,,,,,65349,,0,1341481,11049,38497,154952,36974,,613210,2020,1341481,11049
"2021-02-10","NH",1116,,7,,1065,1065,142,2,334,,561929,528,,,,,,69247,49261,329,0,,,,,,64989,,0,1330432,8424,38432,153920,36918,,611190,770,1330432,8424
"2021-02-09","NH",1109,,3,,1063,1063,159,5,335,,561401,1342,,,,,,68918,49019,419,0,,,,,,64639,,0,1322008,7350,38388,152716,36881,,610420,1576,1322008,7350
"2021-02-08","NH",1106,,2,,1058,1058,179,2,335,,560059,2,,,,,,68499,48785,120,0,,,,,,64148,,0,1314658,468,38347,150650,36844,,608844,83,1314658,468
"2021-02-07","NH",1104,,6,,1056,1056,186,2,334,,560057,796,,,,,,68379,48704,318,0,,,,,,63614,,0,1314190,6587,38344,150752,36844,,608761,1023,1314190,6587
"2021-02-06","NH",1098,,7,,1054,1054,183,4,334,,559261,2245,,,,,,68061,48477,466,0,,,,,,62942,,0,1307603,10132,38287,150114,36786,,607738,2517,1307603,10132
"2021-02-05","NH",1091,,6,,1050,1050,198,2,333,,557016,1412,,,,,,67595,48205,478,0,,,,,,62442,,0,1297471,9642,38207,144872,36713,,605221,1720,1297471,9642
"2021-02-04","NH",1085,,9,,1048,1048,209,6,332,,555604,749,,,,,,67117,47897,396,0,,,,,,61933,,0,1287829,6808,38156,143058,36664,,603501,1030,1287829,6808
"2021-02-03","NH",1076,,10,,1042,1042,207,6,331,,554855,2236,,,,,,66721,47616,337,0,,,,,,61564,,0,1281021,13649,38117,140874,36631,,602471,1971,1281021,13649
"2021-02-02","NH",1066,,7,,1036,1036,202,0,330,,552619,0,,,,,,66384,47263,326,0,,,,,,61096,,0,1267372,0,38048,136456,36609,,600500,618,1267372,0
"2021-02-01","NH",1059,,2,,1036,1036,193,-1,330,,552619,792,,,,,,66058,47263,363,0,,,,,,60337,,0,1267372,5215,38048,136456,36570,,599882,1049,1267372,5215
"2021-01-31","NH",1057,,15,,1037,1037,200,4,330,,551827,1078,,,,,,65695,47006,333,0,,,,,,59752,,0,1262157,7255,38016,135776,36544,,598833,1307,1262157,7255
"2021-01-30","NH",1042,,6,,1033,1033,217,4,329,,550749,2066,,,,,,65362,46777,524,0,,,,,,59082,,0,1254902,11075,37957,134452,36487,,597526,2445,1254902,11075
"2021-01-29","NH",1036,,14,,1029,1029,214,8,329,,548683,2196,,,,,,64838,46398,580,0,,,,,,58414,,0,1243827,9073,37871,131089,36412,,595081,2560,1243827,9073
"2021-01-28","NH",1022,,16,,1021,1021,222,7,327,,546487,2717,,,,,,64258,46034,695,0,,,,,,57862,,0,1234754,10265,37793,128128,36343,,592521,3186,1234754,10265
"2021-01-27","NH",1006,,12,,1014,1014,223,2,327,,543770,1722,,,,,,63563,45565,391,0,,,,,,57343,,0,1224489,9270,37719,125242,36157,,589335,1962,1224489,9270
"2021-01-26","NH",994,,4,,1012,1012,213,5,326,,542048,792,,,,,,63172,45325,404,0,,,,,,56748,,0,1215219,3968,37644,122247,36105,,587373,966,1215219,3968
"2021-01-25","NH",990,,3,,1007,1007,230,7,324,,541256,2027,,,,,,62768,45151,431,0,,,,,,56151,,0,1211251,6230,37603,119746,36070,,586407,2335,1211251,6230
"2021-01-24","NH",987,,6,,1000,1000,239,8,321,,539229,1503,,,,,,62337,44843,761,0,,,,,,55228,,0,1205021,7074,37563,118491,36033,,584072,2038,1205021,7074
"2021-01-23","NH",981,,10,,992,992,229,3,319,,537726,2962,,,,,,61576,44308,625,0,,,,,,54644,,0,1197947,10043,37498,116625,35975,,582034,3425,1197947,10043
"2021-01-22","NH",971,,9,,989,989,249,7,319,,534764,2156,,,,,,60951,43845,657,0,,,,,,53773,,0,1187904,8439,37402,114324,35900,,578609,2572,1187904,8439
"2021-01-21","NH",962,,12,,982,982,240,6,318,,532608,2830,,,,,,60294,43429,857,0,,,,,,53128,,0,1179465,9918,37322,111964,35840,,576037,3388,1179465,9918
"2021-01-20","NH",950,,12,,976,976,254,5,317,,529778,2710,,,,,,59437,42871,728,0,,,,,,52251,,0,1169547,11441,37257,109242,35793,,572649,3164,1169547,11441
"2021-01-19","NH",938,,5,,971,971,254,14,315,,527068,3645,,,,,,58709,42417,845,0,,,,,,51645,,0,1158106,5710,37133,106550,35729,,569485,1917,1158106,5710
"2021-01-18","NH",933,,0,,957,957,237,0,312,,523423,0,,,,,,57864,41351,1000,0,,,,,,50487,,0,1152396,5819,37080,104225,35687,,567568,2794,1152396,5819
"2021-01-17","NH",933,,6,,957,957,243,2,312,,523423,3041,,,,,,56864,41351,919,0,,,,,,49544,,0,1146577,8028,37023,103374,35642,,564774,3693,1146577,8028
"2021-01-16","NH",927,,19,,955,955,252,2,311,,520382,2196,,,,,,55945,40699,445,0,,,,,,48937,,0,1138549,7744,36947,101736,35589,,561081,2504,1138549,7744
"2021-01-15","NH",908,,11,,953,953,255,9,310,,518186,3363,,,,,,55500,40391,722,0,,,,,,48018,,0,1130805,8568,36863,98779,35519,,558577,3888,1130805,8568
"2021-01-14","NH",897,,12,,944,944,270,2,310,,514823,3098,,,,,,54778,39866,653,0,,,,,,47153,,0,1122237,10190,36785,96283,35379,,554689,3592,1122237,10190
"2021-01-13","NH",885,,7,,942,942,275,5,310,,511725,2025,,,,,,54125,39372,977,0,,,,,,46633,,0,1112047,7445,36708,93980,35313,,551097,2606,1112047,7445
"2021-01-12","NH",878,,9,,937,937,287,3,308,,509700,14980,,,,,,53148,38791,841,0,,,,,,46031,,0,1104602,5777,36636,91697,35253,,548491,2536,1104602,5777
"2021-01-11","NH",869,,0,,934,934,267,12,305,,494720,0,,,,,,52307,36037,707,0,,,,,,45320,,0,1098825,7117,36601,89085,35235,,545955,3938,1098825,7117
"2021-01-10","NH",869,,7,,922,922,262,0,305,,494720,0,,,,,,51600,36037,729,0,,,,,,44277,,0,1091708,5879,36569,87646,35206,,542017,2859,1091708,5879
"2021-01-09","NH",862,,16,,922,922,268,0,305,,494720,0,,,,,,50871,36037,719,0,,,,,,43374,,0,1085829,0,36232,46479,35158,,539158,4375,1085829,0
"2021-01-08","NH",846,,19,,922,922,297,0,305,,494720,0,,,,,,50152,36037,891,0,,,,,,42495,,0,1085829,10142,36232,46479,35065,,534783,4026,1085829,10142
"2021-01-07","NH",827,,11,,922,922,314,3,305,,494720,1926,,,,,,49261,36037,423,0,,,,,,41804,,0,1075687,7576,36145,46416,34985,,530757,2107,1075687,7576
"2021-01-06","NH",816,,24,,919,919,301,1,304,,492794,2330,,,,,,48838,35856,846,0,,,,,,41237,,0,1068111,6778,36097,46334,34944,,528650,2824,1068111,6778
"2021-01-05","NH",792,,11,,918,918,305,2,303,,490464,2199,,,,,,47992,35362,664,0,,,,,,40720,,0,1061333,5566,36057,46255,34909,,525826,2625,1061333,5566
"2021-01-04","NH",781,,1,,916,916,319,3,303,,488265,1800,,,,,,47328,34936,878,0,,,,,,40347,,0,1055767,4713,36037,46108,34891,,523201,2316,1055767,4713
"2021-01-03","NH",780,,11,,913,913,325,3,302,,486465,6875,,,,,,46450,34420,1266,0,,,,,,39574,,0,1051054,18125,36016,46013,34874,,520885,4219,1051054,18125
"2021-01-02","NH",769,,10,,910,910,335,8,300,,479590,0,,,,,,45184,32696,1156,0,,,,,,37947,,0,1032929,0,35841,45901,34799,,516666,4380,1032929,0
"2021-01-01","NH",759,,0,,902,902,317,0,300,,479590,0,,,,,,44028,32696,0,0,,,,,,37350,,0,1032929,0,35841,45901,34671,,512286,0,1032929,0
"2020-12-31","NH",759,,18,,902,902,317,1,300,,479590,2517,,,,,,44028,32696,786,0,,,,,,37350,,0,1032929,7703,35841,45901,34671,,512286,2960,1032929,7703
"2020-12-30","NH",741,,6,,901,901,306,0,300,,477073,1062,,,,,,43242,32253,545,0,,,,,,36739,,0,1025226,5427,35757,45740,34637,,509326,1397,1025226,5427
"2020-12-29","NH",735,,20,,901,901,295,6,299,,476011,1159,,,,,,42697,31918,1027,0,,,,,,36079,,0,1019799,4319,35715,45609,34597,,507929,1789,1019799,4319
"2020-12-28","NH",715,,7,,895,895,269,0,297,,474852,2339,,,,,,41670,31288,861,0,,,,,,35447,,0,1015480,5673,35689,45509,34577,,506140,3000,1015480,5673
"2020-12-27","NH",708,,7,,895,895,270,1,297,,472513,2792,,,,,,40809,30627,876,0,,,,,,33107,,0,1009807,4198,35677,45471,34567,,503140,3373,1009807,4198
"2020-12-26","NH",701,,11,,894,894,277,0,297,,469721,4355,,,,,,39933,30046,1031,0,,,,,,33113,,0,1005609,13326,35661,45442,34544,,499767,4747,1005609,13326
"2020-12-25","NH",690,,0,,894,894,298,0,297,,465366,0,,,,,,38902,29654,0,0,,,,,,32324,,0,992283,0,35561,45360,34465,,495020,0,992283,0
"2020-12-24","NH",690,,13,,894,894,298,2,297,,465366,2992,,,,,,38902,29654,390,0,,,,,,32324,,0,992283,12749,35561,45360,34465,,495020,3344,992283,12749
"2020-12-23","NH",677,,21,,892,892,305,3,297,,462374,2040,,,,,,38512,29302,504,0,,,,,,31426,,0,979534,5853,35467,42450,34409,,491676,2415,979534,5853
"2020-12-22","NH",656,,0,,889,889,297,0,297,,460334,1758,,,,,,38008,28927,620,0,,,,,,30867,,0,973681,5079,35405,41378,34355,,489261,2238,973681,5079
"2020-12-21","NH",656,,0,,889,889,278,0,297,,458576,1490,,,,,,37388,28447,846,0,,,,,,30044,,0,968602,5351,35370,40734,34323,,487023,2067,968602,5351
"2020-12-20","NH",656,,6,,889,889,261,3,297,,457086,1297,,,,,,36542,27870,933,0,,,,,,28978,,0,963251,5746,35335,40338,34292,,484956,2009,963251,5746
"2020-12-19","NH",650,,12,,886,886,258,5,297,,455789,2947,,,,,,35609,27158,649,0,,,,,,28234,,0,957505,7768,35273,39897,34245,,482947,3292,957505,7768
"2020-12-18","NH",638,,9,,881,881,273,4,295,,452842,3090,,,,,,34960,26813,696,0,,,,,,27459,,0,949737,9667,35217,39026,34196,,479655,3591,949737,9667
"2020-12-17","NH",629,,4,,877,877,284,7,293,,449752,2174,,,,,,34264,26312,831,0,,,,,,26707,,0,940070,7541,35141,38368,34129,,476064,2718,940070,7541
"2020-12-16","NH",625,,21,,870,870,286,7,292,,447578,1799,,,,,,33433,25768,888,0,,,,,,26128,,0,932529,5919,35061,37554,34058,,473346,2309,932529,5919
"2020-12-15","NH",604,,0,,863,863,252,1,289,,445779,2087,,,,,,32545,25258,670,0,,,,,,25464,,0,926610,6149,35008,36757,34009,,471037,2757,926610,6149
"2020-12-14","NH",604,,1,,862,862,256,1,289,,443692,3189,,,,,,31875,24588,919,0,,,,,,24519,,0,920461,7544,34980,36126,33986,,468280,3801,920461,7544
"2020-12-13","NH",603,,3,,861,861,251,4,289,,440503,2364,,,,,,30956,23976,712,0,,,,,,23793,,0,912917,7138,34946,35639,33957,,464479,2850,912917,7138
"2020-12-12","NH",600,,10,,857,857,247,1,287,,438139,2692,,,,,,30244,23490,784,0,,,,,,23046,,0,905779,7294,34875,35182,33897,,461629,3194,905779,7294
"2020-12-11","NH",590,,6,,856,856,258,4,287,,435447,3652,,,,,,29460,22988,1187,0,,,,,,22046,,0,898485,9556,34777,34315,33811,,458435,4548,898485,9556
"2020-12-10","NH",584,,14,,852,852,248,1,284,,431795,3529,,,,,,28273,22092,681,0,,,,,,21386,,0,888929,7985,34710,33504,33752,,453887,3894,888929,7985
"2020-12-09","NH",570,,4,,851,851,232,2,284,,428266,2681,,,,,,27592,21727,969,0,,,,,,20513,,0,880944,7654,34633,32565,33686,,449993,3304,880944,7654
"2020-12-08","NH",566,,0,,849,849,211,0,284,,425585,2271,,,,,,26623,21104,807,0,,,,,,20239,,0,873290,6007,34555,31681,33615,,446689,2799,873290,6007
"2020-12-07","NH",566,,2,,849,849,185,0,284,,423314,2378,,,,,,25816,20576,1045,0,,,,,,19864,,0,867283,5810,34525,,33589,,443890,3143,867283,5810
"2020-12-06","NH",564,,5,,849,849,169,2,284,,420936,2804,,,,,,24771,19811,633,0,,,,,,19553,,0,861473,7388,34502,,33568,,440747,3194,861473,7388
"2020-12-05","NH",559,,7,,847,847,146,3,282,,418132,3426,,,,,,24138,19421,448,0,,,,,,19034,,0,854085,8885,34455,,33528,,437553,3789,854085,8885
"2020-12-04","NH",552,,8,,844,844,159,0,281,,414706,2244,,,,,,23690,19058,765,0,,,,,,18418,,0,845200,6500,34379,,33462,,433764,2737,845200,6500
"2020-12-03","NH",544,,7,,844,844,156,2,279,,412462,2766,,,,,,22925,18565,593,0,,,,,,18039,,0,838700,7051,34318,,33405,,431027,3211,838700,7051
"2020-12-02","NH",537,,9,,842,842,162,1,279,,409696,3255,,,,,,22332,18120,566,0,,,,,,17101,,0,831649,6549,34261,,33348,,427816,3727,831649,6549
"2020-12-01","NH",528,,2,,841,841,160,2,279,,406441,2233,,,,,,21766,17648,772,0,,,,,,16216,,0,825100,7941,34218,,33186,,424089,2828,825100,7941
"2020-11-30","NH",526,,0,,839,839,160,0,279,,404208,1998,,,,,,20994,17053,514,0,,,,,,15323,,0,817159,6496,34190,,33161,,421261,2285,817159,6496
"2020-11-29","NH",526,,3,,839,839,146,2,279,,402210,3013,,,,,,20480,16766,478,0,,,,,,14999,,0,810663,25100,34180,,33152,,418976,2818,810663,25100
"2020-11-28","NH",523,,6,,837,837,133,1,276,,399197,2179,,,,,,20002,16961,689,0,,,,,,14642,,0,785563,0,34017,,33136,,416158,2868,785563,0
"2020-11-27","NH",517,,3,,836,836,131,3,276,,397018,1706,,,,,,19313,16272,537,0,,,,,,14226,,0,785563,0,34017,,33089,,413290,2243,785563,0
"2020-11-26","NH",514,,0,,833,833,125,0,276,,395312,0,,,,,,18776,15735,0,0,,,,,,13969,,0,785563,0,34017,,33024,,411047,0,785563,0
"2020-11-25","NH",514,,1,,833,833,125,1,276,,395312,3064,,,,,,18776,15735,394,0,,,,,,13969,,0,785563,9965,34017,,33024,,411047,3379,785563,9965
"2020-11-24","NH",513,,1,,832,832,121,1,276,,392248,1233,,,,,,18382,15420,340,0,,,,,,13558,,0,775598,4807,33949,,32967,,407668,1441,775598,4807
"2020-11-23","NH",512,,0,,831,831,121,1,277,,391015,1588,,,,,,18042,15212,444,0,,,,,,13226,,0,770791,5872,33915,,32939,,406227,1903,770791,5872
"2020-11-22","NH",512,,4,,830,830,117,1,276,,389427,3579,,,,,,17598,14897,317,0,,,,,,12887,,0,764919,9416,33879,,32909,,404324,3791,764919,9416
"2020-11-21","NH",508,,1,,829,829,116,2,276,,385848,397,,,,,,17281,14685,484,0,,,,,,12599,,0,755503,8447,33822,,32858,,400533,727,755503,8447
"2020-11-20","NH",507,,1,,827,827,108,1,276,,385451,3913,,,,,,16797,14355,520,0,,,,,,12201,,0,747056,8994,33775,,32818,,399806,4323,747056,8994
"2020-11-19","NH",506,,2,,826,826,98,4,276,,381538,2449,,,,,,16277,13945,528,0,,,,,,11765,,0,738062,8916,33709,,32761,,395483,4332,738062,8916
"2020-11-18","NH",504,,2,,822,822,91,5,272,,379089,2251,,,,,,15749,12062,446,0,,,,,,11478,,0,729146,6099,33644,,32709,,391151,2251,729146,6099
"2020-11-17","NH",502,,2,,817,817,77,0,271,,376838,1292,,,,,,15303,12062,274,0,,,,,,11250,,0,723047,5158,33602,,32676,,388900,1292,723047,5158
"2020-11-16","NH",500,,1,,817,817,74,13,268,,375546,2856,,,,,,15029,12062,358,0,,,,,,11185,,0,717889,27530,33500,,32656,,387608,2856,717889,27530
"2020-11-15","NH",499,,0,,804,804,69,0,266,,372690,3340,,,,,,14671,12062,360,0,,,,,,10866,,0,690359,0,33433,,32647,,384752,3340,690359,0
"2020-11-14","NH",499,,1,,804,804,68,-7,266,,369350,3107,,,,,,14311,12062,382,0,,,,,,10842,,0,690359,0,33433,,32612,,381412,3107,690359,0
