"date","state","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2021-03-07","NY",39029,,59,,,,4789,0,,999,,0,,,,,682,1681169,,6789,0,,,,,,,39695100,227768,39695100,227768,,,,,,0,,0
"2021-03-06","NY",38970,,79,,,,4954,0,,1012,,0,,,,,694,1674380,,7647,0,,,,,,,39467332,273132,39467332,273132,,,,,,0,,0
"2021-03-05","NY",38891,,95,,,,5034,0,,1030,,0,,,,,700,1666733,,8956,0,,,,,,,39194200,296935,39194200,296935,,,,,,0,,0
"2021-03-04","NY",38796,,61,,,,5177,0,,1043,,0,,,,,712,1657777,,7593,0,,,,,,,38897265,270089,38897265,270089,,,,,,0,,0
"2021-03-03","NY",38735,,75,,,,5323,0,,1047,,0,,,,,735,1650184,,7704,0,,,,,,,38627176,218069,38627176,218069,,,,,,0,,0
"2021-03-02","NY",38660,,83,,,,5369,0,,1076,,0,,,,,747,1642480,,5800,0,,,,,,,38409107,128034,38409107,128034,,,,,,0,,0
"2021-03-01","NY",38577,,80,,,,5307,0,,1065,,0,,,,,741,1636680,,6235,0,,,,,,,38281073,174158,38281073,174158,,,,,,0,,0
"2021-02-28","NY",38497,,90,,,,5259,0,,1083,,0,,,,,728,1630445,,7580,0,,,,,,,38106915,273720,38106915,273720,,,,,,0,,0
"2021-02-27","NY",38407,,86,,,,5445,0,,1121,,0,,,,,753,1622865,,8141,0,,,,,,,37833195,285307,37833195,285307,,,,,,0,,0
"2021-02-26","NY",38321,,94,,,,5626,0,,1132,,0,,,,,771,1614724,,8204,0,,,,,,,37547888,291189,37547888,291189,,,,,,0,,0
"2021-02-25","NY",38227,,92,,,,5703,0,,1124,,0,,,,,774,1606520,,8746,0,,,,,,,37256699,278942,37256699,278942,,,,,,0,,0
"2021-02-24","NY",38135,,104,,,,5876,0,,1154,,0,,,,,800,1597774,,6189,0,,,,,,,36977757,216813,36977757,216813,,,,,,0,,0
"2021-02-23","NY",38031,,90,,,,5977,0,,1176,,0,,,,,799,1591585,,6654,0,,,,,,,36760944,157333,36760944,157333,,,,,,0,,0
"2021-02-22","NY",37941,,90,,,,5804,0,,1148,,0,,,,,780,1584931,,6146,0,,,,,,,36603611,142019,36603611,142019,,,,,,0,,0
"2021-02-21","NY",37851,,75,,,,5764,0,,1162,,0,,,,,794,1578785,,6610,0,,,,,,,36461592,221157,36461592,221157,,,,,,0,,0
"2021-02-20","NY",37776,,101,,,,5977,0,,1162,,0,,,,,801,1572175,,7692,0,,,,,,,36240435,251645,36240435,251645,,,,,,0,,0
"2021-02-19","NY",37675,,119,,,,6155,0,,1199,,0,,,,,834,1564483,,8710,0,,,,,,,35988790,249248,35988790,249248,,,,,,0,,0
"2021-02-18","NY",37556,,116,,,,6434,0,,1258,,0,,,,,863,1555773,,6794,0,,,,,,,35739542,215731,35739542,215731,,,,,,0,,0
"2021-02-17","NY",37440,,112,,,,6574,0,,1273,,0,,,,,854,1548979,,6092,0,,,,,,,35523811,169963,35523811,169963,,,,,,0,,0
"2021-02-16","NY",37328,,107,,,,6620,0,,1271,,0,,,,,878,1542887,,6753,0,,,,,,,35353848,136392,35353848,136392,,,,,,0,,0
