"State","Date","Cases_Asian","Cases_AIAN","Cases_Black","Cases_White","Cases_Other","Cases_NHPI","Cases_Multiracial","Cases_LatinX","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Hispanic","Cases_Ethnicity_Unknown","Cases_Total","Deaths_AIAN","Deaths_Asian","Deaths_Black","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Deaths_LatinX","Deaths_Multiracial","Deaths_NHPI","Deaths_Other","Deaths_White","Deaths_Total","Hospitalizations_AIAN","Hospitalizations_Asian","Hospitalizations_Black","Hospitalizations_Ethnicity_Hispanic","Hospitalizations_Ethnicity_NonHispanic","Hospitalizations_Ethnicity_Unknown","Hospitalizations_LatinX","Hospitalizations_Multiracial","Hospitalizations_NHPI","Hospitalizations_Other","Hospitalizations_White","Hospitalizations_Total","Tests_AIAN","Tests_Asian","Tests_Black","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown","Tests_LatinX","Tests_Multiracial","Tests_NHPI","Tests_Other","Tests_White","Tests_Total"
"SC",20210307,5178,,107296,238659,57311,,,,307580,29233,189052,525865,,54,2408,211,6437,2106,,,,389,4727,8754,,166,7383,998,16674,3053,,,,1166,10646,20725,,,,,,,,,,,,
"SC",20210303,5086,,106164,235488,56904,,,,303313,28889,187794,519996,,52,2366,209,6340,1997,,,,382,4660,8546,,164,7309,987,16472,3029,,,,1155,10515,20488,,,,,,,,,,,,
"SC",20210228,5035,,105469,233747,56575,,,,300884,28677,187262,516823,,51,2353,207,6297,2042,,,,380,4625,8546,,162,7279,983,16377,3027,,,,1142,10455,20387,,,,,,,,,,,,
"SC",20210224,4928,,103942,229736,55931,,,,295571,28259,185214,509044,,51,2278,202,6130,2066,,,,367,4519,8398,,162,7149,963,16018,3136,,,,1111,10207,20117,,,,,,,,,,,,
"SC",20210221,4874,,103049,227189,55578,,,,292165,27996,183988,504149,,51,2278,202,6130,1992,,,,367,4519,8324,,162,7149,963,16018,2985,,,,1111,10207,19966,,,,,,,,,,,,
"SC",20210217,4752,,100985,221376,54655,,,,284547,27463,180359,492369,,51,2229,200,5976,1941,,,,356,4400,8117,,159,7038,944,15696,2932,,,,1082,9986,19572,,,,,,,,,,,,
"SC",20210214,4691,,99929,218691,54121,,,,280824,27217,179252,487293,,50,2204,199,5898,1901,,,,346,4338,7998,,159,6970,943,15553,2900,,,,1070,9900,19396,,,,,,,,,,,,
"SC",20210210,4545,,97238,211672,53010,,,,271840,26590,174710,473140,,49,2150,193,5709,1840,,,,322,4185,7742,,157,6826,924,15172,2845,,,,1043,9634,18941,,,,,,,,,,,,
"SC",20210207,4457,,95812,208178,52398,,,,267250,26222,172901,466373,,49,2127,190,5635,1826,,,,319,4125,7651,,157,6763,918,15012,2826,,,,1036,9518,18756,,,,,,,,,,,,
"SC",20210203,4315,,93253,201406,48555,,,,257956,25566,167272,450794,,47,2061,186,5424,1784,,,,285,3987,7394,,154,6637,900,14649,2775,,,,978,9292,18324,,,,,,,,,,,,
"SC",20210131,4214,,91865,197690,47685,,,,253046,25202,165138,443386,,45,1987,180,5193,1669,,,,254,3799,7042,,152,6574,896,14458,2736,,,,957,9170,18090,,,,,,,,,,,,
"SC",20210127,4058,,88638,190344,45879,,,,242996,24453,159782,427231,,43,1899,172,4908,1593,,,,229,3582,6673,,144,6418,873,14032,2675,,,,927,8880,17580,,,,,,,,,,,,
"SC",20210124,3976,,86711,186491,44683,,,,237772,24089,156464,418325,,43,1863,168,4812,1567,,,,221,3511,6547,,144,6335,862,13795,2632,,,,909,8717,17289,,,,,,,,,,,,
"SC",20210120,3797,,83207,178219,41808,,,,227118,23212,149513,399843,,42,1809,163,4620,1545,,,,210,3373,6328,,139,6161,833,13250,2606,,,,874,8330,16689,,,,,,,,,,,,
"SC",20210117,3733,,81212,174113,37983,,,,221771,22695,143718,388184,,42,1785,161,4555,1521,,,,204,3323,6237,,139,6106,820,13069,2547,,,,852,8192,16436,,,,,,,,,,,,
"SC",20210113,3468,,76726,164428,35664,,,,209841,21657,133880,365378,,41,1730,156,4337,1418,,,,194,3144,5911,,136,5948,794,12607,2447,,,,826,7867,15848,,,,,,,,,,,,
"SC",20210110,3355,,74555,159298,34915,,,,203597,21122,129806,354525,,41,1700,155,4256,1400,,,,190,3088,5811,,132,5875,786,12417,2395,,,,815,7738,15598,,,,,,,,,,,,
"SC",20210106,3117,,71030,149411,32006,,,,191708,20266,121261,333235,,40,1660,153,4092,1337,,,,184,2953,5582,,130,5729,770,11901,2344,,,,791,7369,15015,,,,,,,,,,,,
"SC",20210103,3012,,31210,144147,31210,,,,185553,19821,116295,321669,,40,1635,150,4008,1311,,,,178,2885,5469,,127,5644,764,11668,2295,,,,772,7196,14727,,,,,,,,,,,,
"SC",20201230,2865,,66349,135787,28162,,,,176211,19162,108102,303475,,38,1582,144,3844,1261,,,,160,2754,5249,,127,5517,734,11255,2247,,,,737,6901,14236,,,,,,,,,,,,
"SC",20201227,2797,,65042,132194,27917,,,,171727,18857,105595,296179,,35,1564,142,3766,1247,,,,155,2692,5155,,124,5441,726,11028,2221,,,,720,6748,13975,,,,,,,,,,,,
"SC",20201223,2682,,62901,125854,26077,,,,164186,18365,99679,282230,,35,1543,141,3677,1210,,,,147,2613,5028,,124,5360,721,10792,2159,,,,707,6561,13672,,,,,,,,,,,,
"SC",20201220,2599,,61313,121625,24736,,,,159010,17938,96458,273406,,35,1526,140,3610,1185,,,,142,2557,4935,,122,5294,713,10605,2126,,,,697,6427,13444,,,,,,,,,,,,
"SC",20201216,2456,,58620,115088,22980,,,,150768,17348,92003,260119,,34,1500,140,3508,1152,,,,135,2472,4800,,121,5191,712,10275,2083,,,,679,6202,13070,,,,,,,,,,,,
"SC",20201213,2381,,57101,111727,21693,,,,146036,16999,89171,252206,,34,1489,137,3464,1138,,,,131,2434,4739,,119,5134,709,10118,2047,,,,672,6084,12874,,,,,,,,,,,,
"SC",20201209,2246,,54717,105924,20256,,,,138464,16336,84644,239444,,33,1468,131,3369,1112,,,,127,2353,4612,,119,5036,697,9825,2005,,,,652,5875,12527,,,,,,,,,,,,
"SC",20201206,2169,,53232,102547,19240,,,,134042,15974,82083,232099,,32,1456,129,3329,1108,,,,124,2323,4566,,117,4985,690,9706,1984,,,,647,5796,12380,,,,,,,,,,,,
"SC",20201202,2089,,51424,97256,17761,,,,127126,15464,78245,220835,,29,1436,124,3236,1084,,,,116,2243,4444,,114,4890,671,9408,1944,,,,635,5574,12023,,,,,,,,,,,,
"SC",20201129,2036,,50647,94822,17301,,,,123882,15204,77043,216129,,28,1419,122,3171,1060,,,,114,2189,4353,,112,4848,665,9271,1921,,,,628,5473,11857,,,,,,,,,,,,
"SC",20201125,2004,,49914,92474,16454,,,,121072,14972,74861,210905,,28,1407,122,3141,1054,,,,113,2172,4317,,112,4809,653,9171,1913,,,,619,5402,11737,,,,,,,,,,,,
"SC",20201122,1959,,49054,89715,16233,,,,117589,14677,74029,206295,,28,1392,122,3106,1055,,,,113,2154,4283,,110,4751,639,9000,1891,,,,606,5285,11530,,,,,,,,,,,,
"SC",20201118,1897,,47960,86060,15475,,,,113033,14304,72110,199447,,27,1372,121,3038,1023,,,,111,2102,4182,,108,4698,626,8845,1878,,,,589,5179,11349,,,,,,,,,,,,
"SC",20201115,1847,,47273,83818,15190,,,,110159,14047,71301,195507,,27,1359,120,2986,1006,,,,107,2056,4112,,106,4657,621,8727,1863,,,,584,5094,11211,,,,,,,,,,,,
"SC",20201111,1795,,46315,80699,14191,,,,106360,13721,68914,188995,,27,1347,120,2956,1000,,,,106,2034,4076,,,,,,,,,,,,,,,,,,,,,,,,
"SC",20201108,1768,,45727,78613,14044,,,,103643,13523,68522,185688,,27,1338,120,2923,993,,,,106,2004,4036,,,,,,,,,,,,,,,,,,,,,,,,
"SC",20201104,1723,,44937,75886,13230,,,,100440,13303,67127,180870,,27,1329,120,2886,979,,,,101,1974,3985,,,,,,,,,,,,,,,,,,,,,,,,
"SC",20201101,1695,,44378,74106,13064,,,,98181,13114,66728,178023,,27,1317,120,2844,972,,,,100,1943,3936,,,,,,,,,,,,,,,,,,,,,,,,
"SC",20201028,1658,,43616,71689,12442,,,,95316,12899,65276,173491,,27,1307,118,2800,958,,,,97,1902,3876,,,,,,,,,,,,,,,,,,,,,,,,
"SC",20201025,1628,,42983,69838,12297,,,,93095,12747,64836,170678,,25,1289,116,2740,946,,,,94,1855,3802,,,,,,,,,,,,,,,,,,,,,,,,
"SC",20201021,1595,,42222,67689,11668,,,,90404,12570,63383,166357,,25,1273,115,2687,906,,,,92,1803,3708,,,,,,,,,,,,,,,,,,,,,,,,
"SC",20201018,1573,,41722,66265,11496,,,,88604,12453,62933,163990,,25,1258,114,2644,892,,,,91,1771,3650,,,,,,,,,,,,,,,,,,,,,,,,
"SC",20201014,1529,,40896,64028,11039,,,,85801,12268,61740,159809,,25,1242,112,2601,880,,,,89,1737,3593,,,,,,,,,,,,,,,,,,,,,,,,
"SC",20201011,1500,,40345,62557,10961,,,,83905,12146,61355,157406,,25,1232,111,2574,867,,,,88,1719,3552,,,,,,,,,,,,,,,,,,,,,,,,
"SC",20201007,1465,,39744,60428,10341,,,,81358,11972,60375,153705,,25,1220,110,2536,856,,,,87,1686,3502,,,,,,,,,,,,,,,,,,,,,,,,
"SC",20201004,1433,,39238,59013,10214,,,,79542,11840,60200,151582,,25,1201,108,2504,841,,,,86,1669,3453,,,,,,,,,,,,,,,,,,,,,,,,
"SC",20200930,1404,,38597,57093,9525,,,,77363,11624,58955,147942,,23,1179,104,2452,822,,,,83,1629,3378,,,,,,,,,,,,,,,,,,,,,,,,
"SC",20200927,1384,,38200,56135,9450,,,,76122,11504,58261,145887,,23,1163,102,2409,815,,,,81,1600,3326,,,,,,,,,,,,,,,,,,,,,,,,
"SC",20200923,1345,,37318,54045,9280,,,,73360,11262,57064,141686,,23,1141,101,2367,794,,,,81,1569,3262,,,,,,,,,,,,,,,,,,,,,,,,
"SC",20200920,1312,,36314,51955,9059,,,,70574,10951,56183,137708,,23,1118,100,2317,782,,,,81,1534,3199,,,,,,,,,,,,,,,,,,,,,,,,
"SC",20200916,1266,,35419,50053,8851,,,,68285,10722,55115,134122,,22,1097,98,2261,773,,,,80,1492,3132,,,,,,,,,,,,,,,,,,,,,,,,
"SC",20200913,1228,,34741,48735,8675,,,,66498,10556,54810,131864,,22,1072,99,2221,744,,,,80,1465,3064,,,,,,,,,,,,,,,,,,,,,,,,
"SC",20200909,1164,,33991,46307,8412,,,,63768,10320,52125,126213,,20,1033,97,2127,718,,,,79,1402,2942,,,,,,,,,,,,,,,,,,,,,,,,
"SC",20200906,1136,,33603,45474,8340,,,,62672,10227,52053,124952,,19,1019,96,2083,708,,,,77,1368,2887,,,,,,,,,,,,,,,,,,,,,,,,
"SC",20200902,1095,,32773,43376,7966,,,,60261,9987,50255,120503,,18,991,94,2007,693,,,,75,1315,2794,,,,,,,,,,,,,,,,,,,,,,,,
"SC",20200830,1067,,32132,42039,7823,,,,58448,9799,50077,118324,,18,968,93,1943,673,,,,73,1267,2709,,,,,,,,,,,,,,,,,,,,,,,,
"SC",20200826,885,,30093,38943,7080,,,,54482,9393,50216,114093,,23,904,89,1840,665,,,,69,1206,2573,,,,,,,,,,,,,,,,,,,,,,,,
"SC",20200823,867,,29500,38177,6941,,,,53473,9219,49294,111988,,22,877,86,1781,635,,,,67,1170,2504,,,,,,,,,,,,,,,,,,,,,,,,
"SC",20200819,829,,28189,36479,6632,,,,50480,8856,49074,108411,,21,834,82,1695,581,,,,64,1112,2360,,,,,,,,,,,,,,,,,,,,,,,,
"SC",20200816,803,,27319,35354,6428,,,,49018,8599,48878,106497,,20,790,78,1603,587,,,,60,1054,2269,,,,,,,,,,,,,,,,,,,,,,,,
"SC",20200812,782,,26594,34415,6257,,,,47059,8403,47510,102974,,19,769,74,1524,545,,,,57,980,2144,,,,,,,,,,,,,,,,,,,,,,,,
"SC",20200809,748,,25434,32915,5984,,,,45202,8071,47160,100435,,18,721,69,1426,534,,,,54,919,2031,,,,,,,,,,,,,,,,,,,,,,,,
"SC",20200805,712,,24236,31364,6415,,,,42452,7718,44528,95472,,16,693,65,1341,487,,,,50,845,1894,,,,,,,,,,,,,,,,,,,,,,,,
"SC",20200802,673,,22914,29654,6065,,,,38000,6909,46878,91788,,15,634,61,1256,459,,,,47,793,1777,,,,,,,,,,,,,,,,,,,,,,,,
"SC",20200729,631,,21466,28411,5682,,,,38000,6909,40936,85846,,14,589,55,1138,420,,,,43,718,1615,,,,,,,,,,,,,,,,,,,,,,,,
"SC",20200726,588,,19433,26500,5300,,,,34915,7112,39170,81199,,12,526,49,1020,408,,,,38,642,1491,,,,,,,,,,,,,,,,,,,,,,,,
"SC",20200722,548,,18100,24682,4936,,,,32794,6680,35567,75042,,11,485,44,928,311,,,,34,566,1285,,,,,,,,,,,,,,,,,,,,,,,,
"SC",20200719,499,,16472,22463,4492,,,,29705,6051,34228,69986,,10,439,40,836,267,,,,31,512,1155,,,,,,,,,,,,,,,,,,,,,,,,
"SC",20200715,454,,14994,20446,4089,,,,27063,5512,29668,62245,,9,410,36,772,188,,,,28,457,998,,,,,,,,,,,,,,,,,,,,,,,,
"SC",20200712,403,,12905,18552,3629,,,,24316,5305,27026,56648,,8,386,34,727,198,,,,26,422,961,,,,,,,,,,,,,,,,,,,,,,,,
"SC",20200708,366,,11738,16874,3301,,,,22070,4815,22023,48909,,8,360,31,666,186,,,,24,384,884,,,,,,,,,,,,,,,,,,,,,,,,
"SC",20200705,328,,10826,15091,3280,,,,19909,4266,20316,44847,,7,345,29,626,163,,,,23,353,820,,,,,,,,,,,,,,,,,,,,,,,,
"SC",20200701,292,,9651,13160,2924,,,,17990,4103,15825,37919,,7,324,28,595,143,,,,14,331,766,,,,,,,,,,,,,,,,,,,,,,,,
"SC",20200628,256,,8716,11537,2563,,,,16163,3771,13385,33320,,6,311,26,557,132,,,,13,311,716,,,,,,,,,,,,,,,,,,,,,,,,
"SC",20200624,226,,7926,10191,2264,,,,13873,3132,10836,27842,,6,303,19,548,115,,,,13,303,683,,,,,,,,,,,,,,,,,,,,,,,,
"SC",20200621,390,,7027,8589,1952,,,,12726,3030,8904,24661,,6,287,18,513,121,,,,12,281,653,,,,,,,,,,,,,,,,,,,,,,,,
"SC",20200617,345,,6389,7426,1727,,,,11413,2496,6645,20556,,5,273,17,489,110,,,,11,267,617,,,,,,,,,,,,,,,,,,,,,,,,
"SC",20200614,306,,5828,6441,1533,,,,10307,2186,6301,18795,,5,272,11,476,107,,,,11,261,600,,,,,,,,,,,,,,,,,,,,,,,,
"SC",20200610,248,,5218,4970,994,,,,9236,1930,4592,15759,,5,243,10,456,102,,,,5,265,575,,,,,,,,,,,,,,,,,,,,,,,,
"SC",20200607,242,,5086,4965,968,,,,8384,1602,4298,14286,,5,224,10,430,105,,,,5,256,546,,,,,,,,,,,,,,,,,,,,,,,,
"SC",20200603,223,,4812,4588,783,,,,7931,1359,3360,12651,,4,204,9,404,109,,,,4,244,518,,,,,,,,,,,,,,,,,,,,,,,,
"SC",20200531,202,,4445,4243,606,,,,7184,1113,3563,11861,,4,196,9,388,96,,,,4,234,494,,,,,,,,,,,,,,,,,,,,,,,,
"SC",20200527,188,,4138,3950,470,,,,6831,935,2855,10623,,4,223,4,359,98,,,,4,176,466,,,,,,,,,,,,,,,,,,,,,,,,
"SC",20200524,87,,3948,3685,438,,,,6401,778,2829,10096,,4,162,7,341,89,,,,4,215,435,,,,,,,,,,,,,,,,,,,,,,,,
"SC",20200520,82,,3709,3544,412,,,,6089,730,2355,9175,,3,154,7,322,76,,,,3,208,407,,,,,,,,,,,,,,,,,,,,,,,,
"SC",20200517,76,,3450,3296,383,,,,5695,599,2521,8816,,3,146,,,,,,,3,198,385,,,,,,,,,,,,,,,,,,,,,,,,
"SC",20200513,72,,3244,3172,288,,,0,5398,560,2072,8030,,3,136,,,,,,,3,184,362,,,,,,,,,,,,,,,,,,,,,,,,
"SC",20200510,67,,3034,2966,269,,,0,5083,450,2120,7653,,3,122,,,,,,,3,161,331,,,,,,,,,,,,,,,,,,,,,,,,
