"date","state","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2021-03-07","VA",9596,8104,77,1492,24661,24661,1127,24,,258,,0,,,,,168,585700,461172,1163,0,28980,125061,,,562266,,6038209,19925,6038209,19925,224284,1454389,,,,0,,0
"2021-03-06","VA",9519,8090,91,1429,24637,24637,1164,123,,263,,0,,,,,160,584537,460273,1477,0,28805,124666,,,561305,,6018284,21456,6018284,21456,223817,1449641,,,,0,,0
"2021-03-05","VA",9428,8049,71,1379,24514,24514,1222,100,,254,,0,,,,,150,583060,458696,1652,0,28595,124169,,,560226,,5996828,24556,5996828,24556,223275,1434691,,,,0,,0
"2021-03-04","VA",9357,8018,31,1339,24414,24414,1352,60,,284,,0,,,,,184,581408,457348,1300,0,28396,123686,,,558837,,5972272,25300,5972272,25300,222742,1421319,,,,0,,0
"2021-03-03","VA",9326,7993,383,1333,24354,24354,1352,96,,284,,0,,,,,184,580108,456462,1549,0,28222,123249,,,557574,,5946972,18293,5946972,18293,222307,1410716,,,,0,,0
"2021-03-02","VA",8943,7674,160,1269,24258,24258,1345,100,,305,,0,,,,,200,578559,455578,1385,0,28135,122592,,,556553,,5928679,12765,5928679,12765,222031,1396985,,,,0,,0
"2021-03-01","VA",8783,7530,231,1253,24158,24158,1321,43,,295,,0,,,,,196,577174,454735,1124,0,28067,122040,,,555429,,5915914,13192,5915914,13192,221809,1384143,,,,0,,0
"2021-02-28","VA",8552,7334,170,1218,24115,24115,1323,24,,295,,0,,,,,180,576050,453932,1736,0,27946,121752,,,554480,,5902722,23722,5902722,23722,221493,1380463,,,,0,,0
"2021-02-27","VA",8382,7189,185,1193,24091,24091,1374,113,,303,,0,,,,,185,574314,452664,1675,0,27768,121312,,,552892,,5879000,24347,5879000,24347,221033,1375123,,,,0,,0
"2021-02-26","VA",8197,7037,234,1160,23978,23978,1481,107,,313,,0,,,,,187,572639,451539,1657,0,27539,120821,,,551608,,5854653,24186,5854653,24186,220451,1362562,,,,0,,0
"2021-02-25","VA",7963,6848,156,1115,23871,23871,1488,73,,303,,0,,,,,183,570982,450388,2036,0,27322,120290,,,550195,,5830467,30668,5830467,30668,219906,1349150,,,,0,,0
"2021-02-24","VA",7807,6712,149,1095,23798,23798,1564,100,,318,,0,,,,,185,568946,449000,1907,0,27100,119584,,,548449,,5799799,20805,5799799,20805,219361,1333909,,,,0,,0
"2021-02-23","VA",7658,6590,172,1068,23698,23698,1621,168,,315,,0,,,,,196,567039,447840,1769,0,27002,118885,,,547369,,5778994,16605,5778994,16605,219086,1318154,,,,0,,0
"2021-02-22","VA",7486,6445,155,1041,23530,23530,1540,49,,318,,0,,,,,187,565270,446642,1155,0,26953,118379,,,545660,,5762389,12655,5762389,12655,218920,1307285,,,,0,,0
"2021-02-21","VA",7331,6320,134,1011,23481,23481,1548,45,,306,,0,,,,,186,564115,445808,2303,0,26839,118050,,,544620,,5749734,21526,5749734,21526,218635,1302156,,,,0,,0
"2021-02-20","VA",7197,6198,99,999,23436,23436,1594,67,,312,,0,,,,,186,561812,444150,1882,0,26753,117496,,,542768,,5728208,24574,5728208,24574,218376,1296216,,,,0,,0
"2021-02-19","VA",7098,6107,8,991,23369,23369,1671,101,,329,,0,,,,,204,559930,442757,2034,0,26573,116931,,,540755,,5703634,23800,5703634,23800,217916,1283107,,,,0,,0
"2021-02-18","VA",7090,6096,15,994,23268,23268,1828,89,,364,,0,,,,,218,557896,441200,2304,0,26374,116379,,,538967,,5679834,26622,5679834,26622,217401,1272736,,,,0,,0
"2021-02-17","VA",7075,6080,38,995,23179,23179,1823,137,,386,,0,,,,,239,555592,439674,2284,0,26169,115591,,,536977,,5653212,19394,5653212,19394,216809,1258454,,,,0,,0
"2021-02-16","VA",7037,6047,21,990,23042,23042,1849,98,,401,,0,,,,,241,553308,438276,1770,0,26000,114787,,,535437,,5633818,11473,5633818,11473,216440,1243658,,,,0,,0
"2021-02-15","VA",7016,6028,4,988,22944,22944,1833,38,,398,,0,,,,,251,551538,437262,1539,0,25904,114185,,,534179,,5622345,14695,5622345,14695,216124,1231738,,,,0,,0
"2021-02-14","VA",7012,6024,16,988,22906,22906,1906,60,,392,,0,,,,,238,549999,436206,2575,0,25842,113849,,,532833,,5607650,24395,5607650,24395,215925,1228812,,,,0,,0
"2021-02-13","VA",6996,6010,30,986,22846,22846,1991,128,,408,,0,,,,,262,547424,434413,3215,0,25630,113322,,,530908,,5583255,29300,5583255,29300,215396,1222541,,,,0,,0
"2021-02-12","VA",6966,5988,8,978,22718,22718,2117,103,,430,,0,,,,,268,544209,432084,3191,0,25169,111809,,,526013,,5553955,35220,5553955,35220,214814,1207358,,,,0,,0
"2021-02-11","VA",6958,5978,26,980,22615,22615,2136,145,,451,,0,,,,,289,541018,429779,3699,0,25169,111809,,,526013,,5518735,32599,5518735,32599,214093,1192537,,,,0,,0
"2021-02-10","VA",6932,5951,34,981,22470,22470,2201,131,,449,,0,,,,,286,537319,427188,3203,0,24975,110865,,,523178,,5486136,16359,5486136,16359,213550,1178588,,,,0,,0
"2021-02-09","VA",6898,5932,78,966,22339,22339,2248,172,,467,,0,,,,,290,534116,425066,3291,0,24883,110075,,,521778,,5469777,19803,5469777,19803,213288,1164412,,,,0,,0
"2021-02-08","VA",6820,5874,42,946,22167,22167,2285,65,,464,,0,,,,,298,530825,422723,1700,0,24815,109351,,,519071,,5449974,12201,5449974,12201,213022,1149778,,,,0,,0
"2021-02-07","VA",6778,5840,5,938,22102,22102,2303,67,,456,,0,,,,,301,529125,421466,2949,0,24642,109147,,,517910,,5437773,27356,5437773,27356,212551,1147133,,,,0,,0
"2021-02-06","VA",6773,5835,41,938,22035,22035,2376,142,,465,,0,,,,,294,526176,419382,4709,0,24445,108449,,,515484,,5410417,39368,5410417,39368,211924,1140604,,,,0,,0
"2021-02-05","VA",6732,5816,82,916,21893,21893,2363,144,,462,,0,,,,,294,521467,416189,5069,0,24182,107181,,,511563,,5371049,54599,5371049,54599,211152,1122200,,,,0,,0
"2021-02-04","VA",6650,5755,75,895,21749,21749,2444,111,,486,,0,,,,,294,516398,412548,3059,0,23295,105474,,,506613,,5316450,15624,5316450,15624,209499,1102576,,,,0,,0
"2021-02-03","VA",6575,5712,58,863,21638,21638,2545,122,,500,,0,,,,,309,513339,410550,2959,0,23249,104600,,,504780,,5300826,19100,5300826,19100,209321,1089699,,,,0,,0
"2021-02-02","VA",6517,5684,43,833,21516,21516,2473,72,,493,,0,,,,,304,510380,408421,2740,0,23215,104031,,,502961,,5281726,19925,5281726,19925,209170,1078482,,,,0,,0
"2021-02-01","VA",6474,5666,10,808,21444,21444,2446,35,,478,,0,,,,,304,507640,406591,2861,0,22977,103381,,,500306,,5261801,27646,5261801,27646,208424,1064820,,,,0,,0
"2021-01-31","VA",6464,5657,15,807,21409,21409,2516,32,,496,,0,,,,,315,504779,404469,2558,0,22763,102362,,,496769,,5234155,23920,5234155,23920,207762,1057980,,,,0,,0
"2021-01-30","VA",6449,5646,70,803,21377,21377,2632,136,,507,,0,,,,,311,502221,402532,4309,0,22695,101679,,,494447,,5210235,30033,5210235,30033,207415,1051469,,,,0,,0
