"date","state","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2021-03-07","WA",5041,,0,,19599,19599,431,43,,98,,0,,,5068404,,43,344532,325053,664,0,,,,,324994,,5393756,24040,5393756,24040,,,,,,0,,0
"2021-03-06","WA",5041,,9,,19556,19556,431,56,,98,,0,,,5044931,,30,343868,324469,778,0,,,,,324428,,5369716,25314,5369716,25314,,,,,,0,,0
"2021-03-05","WA",5032,,20,,19500,19500,413,34,,108,,0,,,5020273,,57,343090,323839,854,0,,,,,323771,,5344402,24021,5344402,24021,,,,,,0,,0
"2021-03-04","WA",5012,,24,,19466,19466,461,33,,121,,0,,,4996968,,61,342236,323123,795,0,,,,,323057,,5320381,18873,5320381,18873,,,,,,0,,0
"2021-03-03","WA",4988,,19,,19433,19433,467,61,,131,,0,,,4978720,,64,341441,322487,733,0,,,,,322430,,5301508,21178,5301508,21178,,,,,,0,,0
"2021-03-02","WA",4969,,13,,19372,19372,473,53,,125,,0,,,4958153,,61,340708,321881,935,0,,,,,321822,,5280330,45898,5280330,45898,,,,,,0,,0
"2021-03-01","WA",4956,,0,,19319,19319,498,0,,135,,0,,,4913062,,58,339773,321079,0,0,,,,,321014,,5234432,0,5234432,0,,,,,,0,,0
"2021-02-28","WA",4956,,0,,19319,19319,498,44,,135,,0,,,4913062,,58,339773,321079,951,0,,,,,321014,,5234432,21008,5234432,21008,,,,,,0,,0
"2021-02-27","WA",4956,,14,,19275,19275,498,51,,135,,0,,,4892820,,59,338822,320317,1169,0,,,,,320250,,5213424,20174,5213424,20174,,,,,,0,,0
"2021-02-26","WA",4942,,30,,19224,19224,548,13,,168,,0,,,4873457,,62,337653,319498,1088,0,,,,,319438,,5193250,25737,5193250,25737,,,,,,0,,0
"2021-02-25","WA",4912,,31,,19211,19211,534,51,,152,,0,,,4848716,,60,336565,318510,872,0,,,,,318442,,5167513,21996,5167513,21996,,,,,,0,,0
"2021-02-24","WA",4881,,24,,19160,19160,544,50,,98,,0,,,4827423,,58,335693,317805,731,0,,,,,317740,,5145517,25291,5145517,25291,,,,,,0,,0
"2021-02-23","WA",4857,,35,,19110,19110,565,77,,121,,0,,,4802711,,55,334962,317223,1168,0,,,,,317161,,5120226,46148,5120226,46148,,,,,,0,,0
"2021-02-22","WA",4822,,0,,19033,19033,608,0,,123,,0,,,4757606,,54,333794,316186,0,0,,,,,316119,,5074078,0,5074078,0,,,,,,0,,0
"2021-02-21","WA",4822,,0,,19033,19033,608,64,,123,,0,,,4757606,,54,333794,316186,890,0,,,,,316119,,5074078,26024,5074078,26024,,,,,,0,,0
"2021-02-20","WA",4822,,19,,18969,18969,608,35,,123,,0,,,4732340,,59,332904,315419,897,0,,,,,315364,,5048054,22760,5048054,22760,,,,,,0,,0
"2021-02-19","WA",4803,,44,,18934,18934,600,73,,129,,0,,,4710363,,64,332007,314655,1200,0,,,,,314601,,5025294,27554,5025294,27554,,,,,,0,,0
"2021-02-18","WA",4759,,50,,18861,18861,628,97,,151,,0,,,4683820,,60,330807,313633,1061,0,,,,,313595,,4997740,30274,4997740,30274,,,,,,0,,0
"2021-02-17","WA",4709,,34,,18764,18764,628,121,,151,,0,,,4654384,,55,329746,312828,1699,0,,,,,312773,,4967466,71312,4967466,71312,,,,,,0,,0
"2021-02-16","WA",4675,,0,,18643,18643,628,0,,151,,0,,,4584757,,57,328047,311288,0,0,,,,,311237,,4896154,0,4896154,0,,,,,,0,,0
